variable,value,outcome
vdem_v2x_ex_military,0.011697462557611036,attempt
wdi_infmort,0.006670487918717794,attempt
wdi_infmort_yearadj,0.005036956862720353,attempt
years_since_last_pt_attempt,0.0036273377277582382,attempt
vdem_v2x_egaldem,0.002312285702445606,attempt
vdem_v2x_gender,0.0021055205204043663,attempt
vdem_v2x_egal,0.0018979494356531827,attempt
vdem_v2x_gencl,0.0018744201595648634,attempt
vdem_v2x_horacc,0.0017672897843198302,attempt
years_since_last_pt_coup,0.0017308387625181126,attempt
pt_attempt_num5yrs,0.0016557917323157248,attempt
vdem_v2x_clphy,0.0015974953909159858,attempt
pt_coup_num10yrs,0.0012772955436251966,attempt
vdem_v2x_freexp,0.001238615323186044,attempt
vdem_v2x_diagacc,0.0011905275699759955,attempt
years_since_last_pt_failed,0.0011198610697324735,attempt
reign_irregular,0.0010444386687290291,attempt
vdem_v2x_partipdem,0.001023726100321442,attempt
vdem_v2x_cspart,0.0010003216402731626,attempt
pt_coup_num5yrs,9.754819761939352e-4,attempt
vdem_v2x_EDcomp_thick,9.627515597015659e-4,attempt
vdem_v2x_liberal,9.350936047196532e-4,attempt
pt_attempt_num10yrs,9.1337797194291e-4,attempt
vdem_v2x_freexp_altinf,8.799044130324673e-4,attempt
vdem_v2x_execorr,8.784512586001796e-4,attempt
vdem_v2x_clpriv,8.664425579392391e-4,attempt
vdem_v2x_libdem,8.451982618116303e-4,attempt
vdem_v2x_mpi,8.049985217161047e-4,attempt
vdem_v2x_partip,7.900103382949542e-4,attempt
vdem_v2x_neopat,7.7132700440678e-4,attempt
vdem_v2x_civlib,7.575514059989986e-4,attempt
vdem_v2x_api,7.569422833554438e-4,attempt
vdem_v2x_delibdem,7.400767055450428e-4,attempt
vdem_v2x_gencs,7.379042700473238e-4,attempt
vdem_v2x_corr,7.254826723369021e-4,attempt
vdem_v2x_rule,7.2246142725928e-4,attempt
vdem_v2x_feduni,7.16113355643534e-4,attempt
wdi_internet_users_pct,7.034907635168806e-4,attempt
vdem_v2x_pubcorr,6.959728657325485e-4,attempt
reign_tenure_months,6.95707291480564e-4,attempt
vdem_v2x_clpol,6.697559638813503e-4,attempt
vdem_v2x_polyarchy,6.654414556270102e-4,attempt
ln_state_age,6.535540522929463e-4,attempt
vdem_v2x_accountability,5.761550346912085e-4,attempt
vdem_v2x_genpp,5.706580095862581e-4,attempt
wdi_cellphones_per100,5.609942892716107e-4,attempt
vdem_v2x_frassoc_thick,5.193593166922922e-4,attempt
reign_loss,4.998443133469537e-4,attempt
vdem_v2x_jucon,4.891788949846697e-4,attempt
vdem_v2x_ex_hereditary,4.767402774359368e-4,attempt
vdem_v2x_veracc,3.6245157952800085e-4,attempt
reign_lastelection,3.5300872415785096e-4,attempt
wdi_cellphones_per100_imputed,1.9171810899336735e-4,attempt
vdem_v2x_accountability_sd,1.913644900131997e-4,attempt
vdem_v2x_ex_military_sd,1.850475480262428e-4,attempt
reign_gov_pres,1.7941735264362705e-4,attempt
oil_price_real,1.69191891461511e-4,attempt
vdem_v2x_horacc_sd,1.5275953954135298e-4,attempt
vdem_v2x_neopat_d1,1.525703063068744e-4,attempt
vdem_v2x_freexp_altinf_d1,1.4972722020986938e-4,attempt
vdem_v2x_clphy_d1,1.4452277970059053e-4,attempt
vdem_v2x_civlib_sd,0.00014283076916956781,attempt
vdem_v2x_gencl_d1,1.4122914817305568e-4,attempt
vdem_v2x_diagacc_sd,1.3821280157024483e-4,attempt
reign_gov_parl,1.328255801049951e-4,attempt
pt_attempt_num,1.2867082498323152e-4,attempt
vdem_v2x_gender_sd,1.2712492642492047e-4,attempt
vdem_v2x_ex_confidence,1.2216194526252927e-4,attempt
vdem_v2x_delibdem_d1,1.2142321645481686e-4,attempt
epr_elf,1.1737548729359753e-4,attempt
pt_attempt,1.1656344134375504e-4,attempt
pt_coup_total,1.1495004454244131e-4,attempt
vdem_v2x_partipdem_d1,1.1473478287834717e-4,attempt
vdem_v2x_veracc_sd,1.1453572800314458e-4,attempt
pt_failed_num5yrs,1.1311858397835269e-4,attempt
vdem_v2x_clpriv_sd,1.1180292854537737e-4,attempt
vdem_v2x_mpi_sd,1.0931300653188391e-4,attempt
vdem_v2x_libdem_d1,1.0926675995963393e-4,attempt
vdem_v2x_gencs_sd,1.0524825418239734e-4,attempt
vdem_v2x_mpi_d1,1.0507269650419162e-4,attempt
vdem_v2x_ex_military_d1,1.0279639964960247e-4,attempt
pt_failed_num10yrs,9.967751496197333e-5,attempt
pt_failed_total,9.600807485078079e-5,attempt
vdem_v2x_libdem_sd,9.418757681291624e-5,attempt
vdem_v2x_freexp_altinf_sd,9.28621398598134e-5,attempt
vdem_v2x_egaldem_sd,9.211243474996356e-5,attempt
vdem_v2x_ex_confidence_sd,9.080061870027666e-5,attempt
vdem_v2x_frassoc_thick_sd,9.008683000309242e-5,attempt
vdem_v2x_divparctrl,8.986089502078752e-5,attempt
vdem_v2x_diagacc_d1,8.930449198721414e-5,attempt
epr_excluded_groups_count,8.898846806853472e-5,attempt
reign_gov_military,8.554513656231977e-5,attempt
vdem_v2x_api_sd,8.486375969798967e-5,attempt
reign_male,8.411712324592164e-5,attempt
vdem_v2x_api_d1,8.327940808522372e-5,attempt
vdem_v2x_clpol_sd,8.173333798493603e-5,attempt
vdem_v2x_EDcomp_thick_d1,7.877400497038272e-5,attempt
vdem_v2x_frassoc_thick_d1,7.602730442832812e-5,attempt
vdem_v2x_freexp_d1,7.427760201154478e-5,attempt
vdem_v2x_jucon_sd,7.201795976967172e-5,attempt
vdem_v2x_clphy_sd,7.187757561209755e-5,attempt
vdem_v2x_egal_sd,6.934890427857494e-5,attempt
vdem_v2x_liberal_sd,6.822629290557415e-5,attempt
vdem_v2x_civlib_d1,6.818354448945332e-5,attempt
vdem_v2x_ex_party,6.360239741474332e-5,attempt
vdem_v2x_liberal_d1,6.305544704571365e-5,attempt
vdem_v2x_polyarchy_d1,6.265342334770102e-5,attempt
reign_age,5.971381308599281e-5,attempt
vdem_v2x_legabort,5.913750153382421e-5,attempt
vdem_v2x_polyarchy_sd,5.891932494111642e-5,attempt
vdem_v2x_egaldem_d1,5.857145151959101e-5,attempt
vdem_v2x_legabort_d1,5.8342108956010844e-5,attempt
vdem_v2x_ex_hereditary_d1,5.7786364219683756e-5,attempt
pt_attempt_total,5.739608643338129e-5,attempt
vdem_v2x_genpp_sd,5.67887753533615e-5,attempt
vdem_v2x_delibdem_sd,5.612277003884555e-5,attempt
vdem_v2x_ex_hereditary_sd,5.535589449331396e-5,attempt
vdem_v2x_jucon_d1,5.355642182912938e-5,attempt
vdem_v2x_partipdem_sd,5.3131078683704175e-5,attempt
vdem_v2x_genpp_d1,5.239686184891318e-5,attempt
vdem_v2x_pubcorr_sd,5.1992105355738395e-5,attempt
vdem_v2x_horacc_d1,5.184265506489092e-5,attempt
vdem_v2x_cspart_sd,5.129892856026101e-5,attempt
vdem_v2x_clpol_d1,5.0734149110809704e-5,attempt
vdem_v2x_gencs_d1,4.8908886213286234e-5,attempt
vdem_v2x_freexp_sd,4.813265734971302e-5,attempt
vdem_v2x_neopat_sd,4.8084227117093594e-5,attempt
vdem_v2x_execorr_d1,4.565510602439137e-5,attempt
vdem_v2x_gencl_sd,4.5528567751184135e-5,attempt
epr_groups,4.3956427619005856e-5,attempt
vdem_v2x_EDcomp_thick_sd,4.21143159288838e-5,attempt
vdem_v2x_gender_d1,4.1486842483333987e-005,attempt
vdem_v2x_suffr,4.0980154395560475e-5,attempt
vdem_v2x_rule_sd,4.048561072536706e-5,attempt
vdem_v2x_accountability_d1,3.907767818298749e-5,attempt
reign_gov_provisional,3.452442947990538e-5,attempt
vdem_v2x_execorr_sd,3.438558907164639e-5,attempt
reign_prev_conflict,3.260579124041579e-5,attempt
reign_change_recent,3.220183602315422e-5,attempt
vdem_v2x_ex_confidence_d1,3.1136419974279055e-5,attempt
vdem_v2x_partip_sd,3.054046871244289e-5,attempt
epr_inpower_groups_pop,2.9834970426757838e-5,attempt
reign_gov_personal,2.6530480199984677e-5,attempt
vdem_v2x_veracc_d1,2.628687429991242e-5,attempt
vdem_v2x_rule_d1,2.6209183128890988e-5,attempt
vdem_v2x_feduni_d1,2.3347400985537453e-5,attempt
wdi_internet_users_pct_imputed,2.2967945623355575e-5,attempt
pt_failed_num,2.239724879271849e-5,attempt
vdem_v2x_pubcorr_d1,2.2277054771074425e-5,attempt
vdem_v2x_ex_direlect_sd,2.174442077012996e-5,attempt
vdem_v2x_corr_d1,2.0879671161583275e-5,attempt
epr_excluded_groups_pop,2.0359635865808242e-5,attempt
vdem_v2x_ex_party_d1,2.020994104158748e-5,attempt
reign_defeat_recent,2.010752479379428e-5,attempt
vdem_v2x_partip_d1,1.9232261410563753e-5,attempt
epr_inpower_groups_count,1.879517942436123e-5,attempt
vdem_v2x_divparctrl_sd,1.825343288827498e-5,attempt
vdem_v2x_egal_d1,1.813183557470524e-5,attempt
vdem_v2x_corr_sd,1.796807286527025e-5,attempt
pt_coup_num,1.7644846279259017e-5,attempt
vdem_v2x_clpriv_d1,1.7531225444372242e-005,attempt
vdem_v2x_ex_party_sd,1.6536410642025157e-5,attempt
vdem_v2x_cspart_d1,1.6371027779315702e-5,attempt
vdem_v2x_gender_imputed,1.5937899788286594e-5,attempt
vdem_v2x_elecoff_d1,1.5800217867735633e-5,attempt
pt_coup,1.5545369917251525e-5,attempt
vdem_v2x_hosinter_sd,1.4536975076789842e-5,attempt
pt_failed,1.4069693831847526e-5,attempt
vdem_v2x_feduni_sd,1.1603777889150117e-5,attempt
vdem_v2x_hosinter_d1,1.1324015642558482e-5,attempt
vdem_v2x_ex_direlect_d1,1.1218696925761948e-5,attempt
vdem_v2x_legabort_sd,1.0361614065686937e-5,attempt
wdi_infmort_imputed,1.0201972906781155e-5,attempt
vdem_v2x_libdem_imputed,1.0074916015168007e-5,attempt
vdem_v2x_divparctrl_d1,8.725856564962677e-6,attempt
vdem_v2x_genpp_imputed,8.360700896492412e-6,attempt
vdem_v2x_hosabort_sd,7.651954394945657e-6,attempt
reign_delayed,7.088986497715521e-6,attempt
vdem_v2x_liberal_imputed,6.370645416518043e-6,attempt
reign_exec_ant,5.847447858018522e-6,attempt
reign_gov_party,5.716026153478417e-6,attempt
reign_leg_ant,5.12488267537498e-6,attempt
vdem_v2x_elecoff_sd,4.670209099465027e-6,attempt
reign_ref_recent,3.8085387320785673e-6,attempt
reign_militarycareer,3.6877718240819944e-6,attempt
vdem_v2x_elecoff,3.3729790213026666e-6,attempt
reign_anticipation,2.9335421401756203e-6,attempt
reign_elected,2.482447321131264e-6,attempt
reign_irreg_lead_ant,2.1478056924840386e-6,attempt
vdem_v2x_suffr_sd,1.4524075569273433e-6,attempt
vdem_v2x_ex_direlect,1.3200311562845597e-6,attempt
epr_excluded_groups_shift,8.265172095674676e-7,attempt
vdem_v2x_hosabort,7.150829272266223e-7,attempt
vdem_v2x_elecreg_d1,6.417692370476143e-7,attempt
epr_inpower_groups_pop_diff,5.113904427554728e-7,attempt
reign_leg_recent,1.8764259474033574e-007,attempt
reign_exec_recent,1.3368235045180406e-7,attempt
vdem_v2x_elecreg,1.1042213039968048e-7,attempt
epr_inpower_groups_shift,1.1369037861928593e-8,attempt
reign_election_now,1.0534390994875903e-8,attempt
reign_victory_recent,8.590520146817405e-9,attempt
reign_lead_recent,5.460617485606377e-9,attempt
epr_regaut_group_pop,0,attempt
epr_regaut_groups_count,0,attempt
vdem_v2x_EDcomp_thick_imputed,0,attempt
vdem_v2x_accountability_imputed,0,attempt
vdem_v2x_api_imputed,0,attempt
vdem_v2x_civlib_imputed,0,attempt
vdem_v2x_clphy_imputed,0,attempt
vdem_v2x_clpol_imputed,0,attempt
vdem_v2x_clpriv_imputed,0,attempt
vdem_v2x_corr_imputed,0,attempt
vdem_v2x_cspart_imputed,0,attempt
vdem_v2x_delibdem_imputed,0,attempt
vdem_v2x_diagacc_imputed,0,attempt
vdem_v2x_egal_imputed,0,attempt
vdem_v2x_egaldem_imputed,0,attempt
vdem_v2x_elecoff_imputed,0,attempt
vdem_v2x_elecreg_imputed,0,attempt
vdem_v2x_ex_confidence_imputed,0,attempt
vdem_v2x_ex_direlect_imputed,0,attempt
vdem_v2x_ex_hereditary_imputed,0,attempt
vdem_v2x_ex_military_imputed,0,attempt
vdem_v2x_ex_party_imputed,0,attempt
vdem_v2x_execorr_imputed,0,attempt
vdem_v2x_feduni_imputed,0,attempt
vdem_v2x_frassoc_thick_imputed,0,attempt
vdem_v2x_freexp_altinf_imputed,0,attempt
vdem_v2x_freexp_imputed,0,attempt
vdem_v2x_gencl_imputed,0,attempt
vdem_v2x_gencs_imputed,0,attempt
vdem_v2x_horacc_imputed,0,attempt
vdem_v2x_hosabort_imputed,0,attempt
vdem_v2x_hosinter_imputed,0,attempt
vdem_v2x_jucon_imputed,0,attempt
vdem_v2x_legabort_imputed,0,attempt
vdem_v2x_mpi_imputed,0,attempt
vdem_v2x_neopat_imputed,0,attempt
vdem_v2x_partip_imputed,0,attempt
vdem_v2x_partipdem_imputed,0,attempt
vdem_v2x_polyarchy_imputed,0,attempt
vdem_v2x_pubcorr_imputed,0,attempt
vdem_v2x_rule_imputed,0,attempt
vdem_v2x_suffr_imputed,0,attempt
vdem_v2x_veracc_imputed,0,attempt
reign_election_recent,-3.6736323714652415e-9,attempt
vdem_v2x_hosinter,-1.4905843780872888e-7,attempt
reign_nochange_recent,-1.6569574388225305e-7,attempt
reign_direct_recent,-3.1296550189817967e-7,attempt
vdem_v2x_divparctrl_imputed,-6.113405535718108e-7,attempt
epr_excluded_groups_pop_diff,-6.258661922960793e-7,attempt
reign_ref_ant,-1.0283069161592715e-6,attempt
reign_indirect_recent,-2.1919335852620325e-6,attempt
vdem_v2x_suffr_d1,-2.472424458842702e-6,attempt
vdem_v2x_elecreg_sd,-2.7478323992823352e-6,attempt
vdem_v2x_hosabort_d1,-3.2909858169869934e-6,attempt
epr_inpower_groups_count_diff,-9.89895568945931e-6,attempt
epr_excluded_groups_count_diff,-9.965849883374177e-6,attempt
