gwid,statename,from,to,group,groupid,gwgroupid,umbrella,size,status,reg_aut
2,United States,1946,1965,Whites,1000,201000,,0.691,MONOPOLY,
2,United States,1946,1965,Latinos,2000,202000,,0.125,IRRELEVANT,
2,United States,1946,1965,African Americans,3000,203000,,0.124,DISCRIMINATED,false
2,United States,1946,1965,Asian Americans,4000,204000,,0.036,IRRELEVANT,
2,United States,1946,1965,American Indians,5000,205000,,0.0078,POWERLESS,true
2,United States,1946,1965,Arab Americans,6000,206000,,0.0042,IRRELEVANT,
2,United States,1966,2008,Whites,1000,201000,,0.691,DOMINANT,
2,United States,1966,2008,Latinos,2000,202000,,0.125,POWERLESS,false
2,United States,1966,2008,African Americans,3000,203000,,0.124,POWERLESS,false
2,United States,1966,2008,Asian Americans,4000,204000,,0.036,POWERLESS,false
2,United States,1966,2008,American Indians,5000,205000,,0.0078,POWERLESS,true
2,United States,1966,2008,Arab Americans,6000,206000,,0.0042,POWERLESS,false
2,United States,2009,2014,Whites,1000,201000,,0.66,SENIOR PARTNER,false
2,United States,2009,2014,Latinos,2000,202000,,0.15,JUNIOR PARTNER,false
2,United States,2009,2014,African Americans,3000,203000,,0.124,JUNIOR PARTNER,false
2,United States,2009,2014,Asian Americans,4000,204000,,0.044,JUNIOR PARTNER,false
2,United States,2009,2014,American Indians,5000,205000,,0.0078,POWERLESS,true
2,United States,2009,2014,Arab Americans,6000,206000,,0.005,POWERLESS,false
2,United States,2015,2017,Whites,1000,201000,,0.66,SENIOR PARTNER,false
2,United States,2015,2017,Latinos,2000,202000,,0.15,JUNIOR PARTNER,false
2,United States,2015,2017,African Americans,3000,203000,,0.124,JUNIOR PARTNER,false
2,United States,2015,2017,Asian Americans,4000,204000,,0.044,POWERLESS,false
2,United States,2015,2017,American Indians,5000,205000,,0.0078,POWERLESS,true
2,United States,2015,2017,Arab Americans,6000,206000,,0.005,POWERLESS,false
20,Canada,1946,1960,English speakers,1000,2001000,,0.59,SENIOR PARTNER,true
20,Canada,1946,1960,French speakers,2000,2002000,,0.28,JUNIOR PARTNER,true
20,Canada,1946,1960,Aboriginal peoples,4000,2004000,,0.02,DISCRIMINATED,false
20,Canada,1961,1984,English speakers,1000,2001000,,0.59,SENIOR PARTNER,true
20,Canada,1961,1984,French speakers,2000,2002000,,0.28,JUNIOR PARTNER,true
20,Canada,1961,1984,Aboriginal peoples,4000,2004000,,0.02,POWERLESS,false
20,Canada,1985,2017,English speakers,1000,2001000,,0.59,SENIOR PARTNER,true
20,Canada,1985,2017,French speakers,2000,2002000,,0.23,JUNIOR PARTNER,true
20,Canada,1985,2017,Aboriginal peoples,4000,2004000,,0.043,POWERLESS,true
31,Bahamas,1973,1992,Afro-Bahamians (Black),1000,3101000,,0.85,DOMINANT,
31,Bahamas,1973,1992,Whites,2000,3102000,,0.047,POWERLESS,false
31,Bahamas,1993,2017,Afro-Bahamians (Black),1000,3101000,,0.85,IRRELEVANT,
31,Bahamas,1993,2017,Whites,2000,3102000,,0.047,IRRELEVANT,
40,Cuba,1946,1959,Whites,1000,4001000,,0.641,DOMINANT,
40,Cuba,1946,1959,Blacks,2000,4002000,,0.359,POWERLESS,false
40,Cuba,1960,2017,Whites,1000,4001000,,0.641,IRRELEVANT,
40,Cuba,1960,2017,Blacks,2000,4002000,,0.359,IRRELEVANT,
41,Haiti,1946,2017,Haitians,1000,4101000,,1,IRRELEVANT,
42,Dominican Republic,1946,2017,Dominicans,1000,4201000,,1,IRRELEVANT,
51,Jamaica,1962,2017,Jamaicans,1000,5101000,,1,IRRELEVANT,
52,Trinidad and Tobago,1962,1986,East Indians,1000,5201000,,0.4,POWERLESS,false
52,Trinidad and Tobago,1962,1986,Blacks,2000,5202000,,0.375,DOMINANT,
52,Trinidad and Tobago,1987,1991,East Indians,1000,5201000,,0.4,JUNIOR PARTNER,false
52,Trinidad and Tobago,1987,1991,Blacks,2000,5202000,,0.375,SENIOR PARTNER,false
52,Trinidad and Tobago,1992,1995,East Indians,1000,5201000,,0.4,POWERLESS,false
52,Trinidad and Tobago,1992,1995,Blacks,2000,5202000,,0.375,DOMINANT,
52,Trinidad and Tobago,1996,2002,East Indians,1000,5201000,,0.4,SENIOR PARTNER,false
52,Trinidad and Tobago,1996,2002,Blacks,2000,5202000,,0.375,JUNIOR PARTNER,false
52,Trinidad and Tobago,2003,2010,East Indians,1000,5201000,,0.4,JUNIOR PARTNER,false
52,Trinidad and Tobago,2003,2010,Blacks,2000,5202000,,0.375,SENIOR PARTNER,false
52,Trinidad and Tobago,2011,2015,East Indians,1000,5201000,,0.354,SENIOR PARTNER,false
