gwcode,year,infmort,infmort_yearadj,infmort_imputed
2,1960,25.9,-1.2162812207459144,FALSE
2,1961,25.9,-1.2369956765832322,FALSE
2,1962,25.4,-1.252406019744962,FALSE
2,1963,24.9,-1.2501568624923087,FALSE
2,1964,24.4,-1.2398672305302547,FALSE
2,1965,23.8,-1.2358704982959385,FALSE
2,1966,23.3,-1.2353243506145675,FALSE
2,1967,22.7,-1.2317197255051124,FALSE
2,1968,22,-1.2448331757543658,FALSE
2,1969,21.3,-1.243325588705022,FALSE
2,1970,20.6,-1.2368290656545728,FALSE
2,1971,19.9,-1.2395909514734889,FALSE
2,1972,19.1,-1.2362472991383084,FALSE
2,1973,18.3,-1.2246700661448304,FALSE
2,1974,17.5,-1.2221429605357579,FALSE
2,1975,16.7,-1.2435781378338775,FALSE
2,1976,15.9,-1.2355450706428395,FALSE
2,1977,15.2,-1.2319103046982873,FALSE
2,1978,14.5,-1.2201970763218268,FALSE
2,1979,13.8,-1.2104875743018237,FALSE
2,1980,13.2,-1.1999427184325642,FALSE
2,1981,12.6,-1.1901933255691861,FALSE
2,1982,12.1,-1.1774134879681653,FALSE
2,1983,11.6,-1.1648181589970021,FALSE
2,1984,11.3,-1.1388546292534147,FALSE
2,1985,10.9,-1.1245561329623865,FALSE
2,1986,10.6,-1.1088712945853934,FALSE
2,1987,10.4,-1.0916272172423813,FALSE
2,1988,10.2,-1.0752322381441324,FALSE
2,1989,9.9,-1.0614305859440147,FALSE
2,1990,9.7,-1.049910543096733,FALSE
2,1991,9.4,-1.0393433293595715,FALSE
2,1992,9.1,-1.015514216667194,FALSE
2,1993,8.8,-1.0056084763695836,FALSE
2,1994,8.5,-1.0011943972864934,FALSE
2,1995,8.2,-0.9948999572010151,FALSE
2,1996,7.9,-0.9917876342504064,FALSE
2,1997,7.7,-0.9852305417157493,FALSE
2,1998,7.5,-0.9775173110777055,FALSE
2,1999,7.3,-0.9703760947215503,FALSE
2,2000,7.2,-0.9601120768370814,FALSE
2,2001,7.1,-0.9490247293560713,FALSE
2,2002,7,-0.9450120022129497,FALSE
2,2003,6.9,-0.9357146850500478,FALSE
2,2004,6.9,-0.9234057904523778,FALSE
2,2005,6.8,-0.9152754416164173,FALSE
2,2006,6.7,-0.8950985502811171,FALSE
2,2007,6.7,-0.8863641064570779,FALSE
2,2008,6.6,-0.8766522460306164,FALSE
2,2009,6.5,-0.8667793458917843,FALSE
2,2010,6.4,-0.8585959776216305,FALSE
2,2011,6.2,-0.856475188309152,FALSE
2,2012,6.1,-0.8524456048988586,FALSE
2,2013,6,-0.8458288649653811,FALSE
2,2014,6,-0.834613805281286,FALSE
2,2015,5.9,-0.8283151558178732,FALSE
2,2016,5.8,-0.8224552711397368,FALSE
2,2017,5.8,-0.8129008046723839,FALSE
2,2018,5.7,-0.8064151719249497,FALSE
2,2019,5.6,-0.8009182585032674,FALSE
20,1960,27.8,-1.1887612598661659,FALSE
20,1961,27.8,-1.2091095563040395,FALSE
20,1962,26.9,-1.2296209414159625,FALSE
20,1963,26,-1.2330910602747258,FALSE
20,1964,25,-1.2304784070863237,FALSE
20,1965,24.1,-1.2311106638791336,FALSE
20,1966,23.1,-1.2385888058318213,FALSE
20,1967,22.1,-1.2416966786370223,FALSE
20,1968,21.2,-1.2584132330459141,FALSE
20,1969,20.3,-1.2605930385467523,FALSE
20,1970,19.4,-1.2579322371227843,FALSE
20,1971,18.5,-1.26481182670826,FALSE
20,1972,17.6,-1.2636925537338268,FALSE
20,1973,16.7,-1.254409561073023,FALSE
20,1974,15.9,-1.252038225012951,FALSE
20,1975,15,-1.2757568600600797,FALSE
20,1976,14.1,-1.270148815594378,FALSE
20,1977,13.3,-1.2690642788833042,FALSE
20,1978,12.5,-1.2600847048908839,FALSE
