Country,Year,GWcode,Coup,Failed,Attempt
United States,2020,2,0.0026957042526215063,0.0021311370488143948,0.0048210963862304924
Canada,2020,20,1.8136178242136197e-4,5.27884015298203e-4,7.091500597336387e-4
Cuba,2020,40,0.017463963344666395,0.0236906985136205,0.04074092836783549
Haiti,2020,41,0.006789728451442725,0.015099903253668896,0.021787107462376155
Dominican Republic,2020,42,0.007072663612812892,0.018762396645807932,0.025702360138574857
Jamaica,2020,51,6.298735925210347e-5,0.004774864024864025,0.004837550628040414
Trinidad & Tobago,2020,52,3.3697588611772595e-4,5.263157894736842e-5,3.895897294921408e-4
Barbados,2020,53,0.002103964253087594,0.0010560606060606062,0.003157802945383955
Mexico,2020,70,0.006173584222188327,0.01202654118290139,0.01812587854019546
Guatemala,2020,90,0.024569775027635014,0.01990371738647078,0.04398446255570658
Honduras,2020,91,0.04341046401515027,0.025260911474707076,0.06757478760129469
El Salvador,2020,92,0.02355295259095741,0.03246419624650039,0.055252521162360436
Nicaragua,2020,93,0.008064482117641922,0.03018255823068214,0.03800363364720804
Costa Rica,2020,94,3.226104991157966e-4,0,3.226104991157966e-4
Panama,2020,95,0.004794672430904451,0.007915169552669552,0.012671891338333885
Colombia,2020,100,0.015788262938477328,0.04308814144923145,0.058196117480978006
Venezuela,2020,101,0.04626829620275266,0.04594724431784099,0.09008963981079554
Guyana,2020,110,0.008401678847482797,0.0040651558121288225,0.012432680526013134
Suriname,2020,115,0.0263959842825044,0.032437267712769106,0.05797703838655986
Ecuador,2020,130,0.030378164550443346,0.014189366710449625,0.044136484344096345
Peru,2020,135,0.00422019450009317,0.012924602669955343,0.01709025283294488
Brazil,2020,140,0.04101693030196383,0.047627875936076924,0.0866912569703401
Bolivia,2020,145,0.01487808394230891,0.02927937771349064,0.043721840616399665
Paraguay,2020,150,0.0022798023558589925,0.007089980514430306,0.009353619116009506
Chile,2020,155,0.012224336360235386,0.01579795779088921,0.027829174601283965
Argentina,2020,160,0.002302482033881371,0.0070759541596212075,0.009362143936177483
Uruguay,2020,165,4.751935031957731e-4,0,4.751935031957731e-4
United Kingdom,2020,200,0.0017541244218872354,0.001855253896430367,0.0036061239721490723
Ireland,2020,205,1.2480992362607867e-4,0,1.2480992362607867e-4
Netherlands,2020,210,7.853818780494135e-4,0.0026693472448267837,0.003452632665923889
Belgium,2020,211,5.7632674946874656e-5,0,5.7632674946874656e-5
Luxembourg,2020,212,0.0014777341954324862,8.214285714285715e-4,0.0022979489137719524
France,2020,220,1.9016084450902416e-4,0,1.9016084450902416e-4
Switzerland,2020,225,1.7390924116272665e-4,0,1.7390924116272665e-4
Spain,2020,230,9.598031429461067e-4,2.1014492753623187e-4,0.001169746372720415
Portugal,2020,235,0.0010251991884172972,5.597262672491505e-4,0.0015843516247515282
Germany,2020,260,6.120689172236845e-5,1.4594474153297682e-4,2.0714270043135281e-4
Poland,2020,290,0.005244588816241136,0.009893321391034745,0.015086023804552982
Austria,2020,305,1.1981582345403002e-4,2e-4,3.1979186028933927e-4
Hungary,2020,310,9.852573474939607e-4,0.002361673457261693,0.0033446039486295046
Czechia,2020,316,7.519606558218261e-4,4.545454545454546e-5,7.973810212465615e-4
Slovakia,2020,317,4.090868579475562e-4,6.29004329004329e-4,0.0010378338695472974
Italy,2020,325,4.954354834098818e-4,0,4.954354834098818e-4
Malta,2020,338,0.0015426573322439624,0.0028648629148629147,0.00440310074532539
Albania,2020,339,0.025106425640715715,0.009813105752401078,0.03467315938323966
Serbia,2020,340,0.0037351117176697944,0.015047349041604659,0.01872625722954929
Montenegro,2020,341,0.001211297334822675,0.0036880665086547436,0.004894896498344836
Macedonia,2020,343,0.0033618114775434906,0.0030923925144193693,0.006443807951314814
Croatia,2020,344,0.0041777636437793355,0.003188690476190476,0.007353132524827118
Bosnia & Herzegovina,2020,346,0.003442830758010102,0.0012082282913165265,0.004646899323802586
Slovenia,2020,349,0.0014854556748888155,9.117784992784993e-4,0.00239587976762132
Greece,2020,350,9.883700260021936e-4,7.692307692307693e-5,0.0010652170744617317
Cyprus,2020,352,6.496121675058943e-4,0.0028300597063754956,0.0034778334326613604
Bulgaria,2020,355,0.007083377875480391,0.0017026546982429336,0.008773972027104207
Moldova,2020,359,0.0028047178562889546,0.0030478991596638648,0.005844068518755543
Romania,2020,360,0.0031281710629567053,0.0099888529339448,0.013085777156201408
Russia,2020,365,0.003994797909350888,0.010263517854694326,0.014217315084376694
Estonia,2020,366,1.743030837689603e-4,0,1.743030837689603e-4
Latvia,2020,367,0.0016201575000673182,4.2028985507246375e-4,0.002039766419378884
Lithuania,2020,368,3.102153108568571e-5,2.722222222222222e-4,3.0323530855777905e-4
Ukraine,2020,369,0.020888071879832156,0.0086042555765752,0.029312601147451406
Belarus,2020,370,9.950669842182665e-4,9.261904761904762e-4,0.0019203358388447883
Armenia,2020,371,0.01063069197055078,0.02978600217908503,0.040100048335435796
Georgia,2020,372,0.002181217740876629,4.91064491064491e-4,0.0026712111133612958
Azerbaijan,2020,373,0.008469045048767986,0.01485160048462478,0.023194866659842175
Finland,2020,375,3.75776263508792e-4,0.0012719298245614035,0.0016472281270332764
Sweden,2020,380,2.9428979081938235e-4,0,2.9428979081938235e-4
Norway,2020,385,0.0047494625771911225,0.005342099567099566,0.010066190042313121
