Country,Year,GWcode,Coup,Failed,Attempt
United States,2020,2,0.0031193843475694895,0.0011609983545613888,0.004276761102036106
Canada,2020,20,4.2667510686926073e-4,0.0012370306623622222,0.001663177959041419
Cuba,2020,40,0.014415334547592341,0.02547168650756959,0.03951983817266392
Haiti,2020,41,0.009597704579078091,0.01386428249868201,0.023328921790136868
Dominican Republic,2020,42,0.011318632612160805,0.016356316297607434,0.027489817774707322
Jamaica,2020,51,2.41838004349039e-4,0.0015328236410907896,0.0017742909504294482
Trinidad & Tobago,2020,52,5.216405661648611e-4,3.28976268751388e-4,8.504452275491627e-4
Barbados,2020,53,0.001808938255260097,7.566650421665277e-4,0.0025642345370854316
Mexico,2020,70,0.0058656227239174494,0.0112483120080134,0.017047956377410932
Guatemala,2020,90,0.020389395731410135,0.028842095294321104,0.04864341813105228
Honduras,2020,91,0.03602387301731857,0.021480157157496616,0.05673023172098148
El Salvador,2020,92,0.02351507851812205,0.026504070220228163,0.049395903446071726
Nicaragua,2020,93,0.014622492426703836,0.019680430252431567,0.034015145736814946
Costa Rica,2020,94,0.00041657908291934087,2.672975271975952e-4,6.837652595581895e-4
Panama,2020,95,0.004304652231855953,0.008263321150209226,0.012532402658233388
Colombia,2020,100,0.01851794108946946,0.023206498813754247,0.04129470332529776
Venezuela,2020,101,0.03397325824549677,0.03957457579179127,0.07220335675395753
Guyana,2020,110,0.009037943514048014,0.004081784626795947,0.01308283720195047
Suriname,2020,115,0.02187634164302123,0.024649028392993662,0.045986139469721236
Ecuador,2020,130,0.019346831527055387,0.017027395488671403,0.03604480086386292
Peru,2020,135,0.004322564735273999,0.010920413641904918,0.015195774182275815
Brazil,2020,140,0.031480967066264,0.027294105408194866,0.057915827641000346
Bolivia,2020,145,0.01876013949295222,0.024782897897631075,0.043078106768984145
Paraguay,2020,150,0.0031704834210772425,0.004791777381954844,0.007947068552285106
Chile,2020,155,0.010076488571587836,0.013882513105106003,0.023819114692045323
Argentina,2020,160,0.00171885137034235,0.006419525974532319,0.008127343133856397
Uruguay,2020,165,2.546809000794941e-4,2.848666523489526e-4,5.394750023330238e-4
United Kingdom,2020,200,0.0018029669046262687,0.0036250091807331873,0.005421440313777628
Ireland,2020,205,1.53678688783753e-4,8.285102367082302e-5,2.3651698001789386e-4
Netherlands,2020,210,0.0010129094411253064,0.0014942873900396579,0.0025056832533598386
Belgium,2020,211,1.2220980684527063e-4,2.249012776398308e-4,3.4708359934340177e-4
Luxembourg,2020,212,0.0016400539084859612,4.146309008096165e-4,0.002054004792266126
France,2020,220,2.714563417508429e-4,8.595121753620796e-5,3.5738422728396946e-4
Switzerland,2020,225,3.6978615067770516e-4,1.2331075994141422e-4,4.930513120078634e-4
Spain,2020,230,6.771253700972405e-4,0.0010146931482598515,0.0016911314438835413
Portugal,2020,235,0.0010271931401689097,0.0012490622274821536,0.0022749723394993493
Germany,2020,260,2.1930780369516987e-4,2.1423036000873787e-4,4.3349118131416945e-4
Poland,2020,290,0.009593741414752152,0.007637990359301204,0.01715845486961785
Austria,2020,305,2.6392699770039256e-4,1.3883694311735066e-4,4.0272729800017637e-4
Hungary,2020,310,0.0038209054888107405,0.0015889012709931574,0.005403735718216382
Czechia,2020,316,6.887864381060789e-4,2.411962576391098e-4,9.298165630340049e-4
Slovakia,2020,317,9.217467899629417e-4,0.0010865000767459154,0.002007245388750822
Italy,2020,325,4.356724791309915e-4,2.581594695198191e-4,6.937194756747139e-4
Malta,2020,338,0.001743695411773749,0.00279567212604851,0.004534492737163244
Albania,2020,339,0.03565815566385401,0.007583246688614262,0.04297099776160826
Serbia,2020,340,0.007050920453734187,0.014296999252999385,0.021247112702273575
Montenegro,2020,341,0.002241683442739917,0.0026128672885720014,0.004848693509973049
Macedonia,2020,343,0.004384155678389793,0.003609192835500136,0.007977525250625766
Croatia,2020,344,0.004386382545377336,0.003388084834716333,0.007759605943912411
Bosnia & Herzegovina,2020,346,0.004440720698574891,0.003337244462655449,0.007763145390668822
Slovenia,2020,349,0.0017880805531445938,0.001224880055636264,0.0030107704245734396
Greece,2020,350,0.0010442820735039756,0.0012168994631385922,0.0022599107503479556
Cyprus,2020,352,8.762138936262058e-4,0.003148140318307059,0.004021595767647279
Bulgaria,2020,355,0.00921820257640638,0.0034167277648358848,0.012603434252557576
Moldova,2020,359,0.004596451989350199,0.005084399852695304,0.00965748164222793
Romania,2020,360,0.005503911361847855,0.007899222115069956,0.013359656858568918
Russia,2020,365,0.005967324997021472,0.00756501020544687,0.013487192327966656
Estonia,2020,366,3.3870004665099843e-4,1.2436297963766923e-4,4.630209045416627e-4
Latvia,2020,367,8.751332294998134e-4,5.118272145734701e-4,0.0013865125270700479
Lithuania,2020,368,2.9519421555664684e-4,2.363250860451735e-4,5.314495398034289e-4
