gwcode,year,groups,elf,excluded_groups_count,excluded_groups_pop,inpower_groups_count,inpower_groups_pop,regaut_groups_count,regaut_group_pop,excluded_groups_shift,inpower_groups_shift,excluded_groups_count_diff,excluded_groups_pop_diff,inpower_groups_count_diff,inpower_groups_pop_diff
2,1946,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1947,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1948,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1949,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1950,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1951,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1952,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1953,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1954,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1955,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1956,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1957,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1958,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1959,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1960,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1961,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1962,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1963,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1964,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1965,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1966,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1967,6,0.50985648,2,0.1318,4,0.8562,0,0,0,0,0,0,0,0
2,1968,6,0.50985648,5,0.297,1,0.691,0,0,1,1,3,0.16519999999999999,-3,-0.1652
2,1969,6,0.50985648,5,0.297,1,0.691,0,0,0,0,0,0,0,0
2,1970,6,0.50985648,5,0.297,1,0.691,0,0,0,0,0,0,0,0
2,1971,6,0.50985648,5,0.297,1,0.691,0,0,0,0,0,0,0,0
2,1972,6,0.50985648,5,0.297,1,0.691,0,0,0,0,0,0,0,0
2,1973,6,0.50985648,5,0.297,1,0.691,0,0,0,0,0,0,0,0
2,1974,6,0.50985648,5,0.297,1,0.691,0,0,0,0,0,0,0,0
2,1975,6,0.50985648,5,0.297,1,0.691,0,0,0,0,0,0,0,0
2,1976,6,0.50985648,5,0.297,1,0.691,0,0,0,0,0,0,0,0
2,1977,6,0.50985648,5,0.297,1,0.691,0,0,0,0,0,0,0,0
