gwcode,year,elected,age,male,militarycareer,tenure_months,government,anticipation,ref_ant,leg_ant,exec_ant,irreg_lead_ant,election_now,election_recent,leg_recent,exec_recent,lead_recent,ref_recent,direct_recent,indirect_recent,victory_recent,defeat_recent,change_recent,nochange_recent,delayed,lastelection,loss,irregular,prev_conflict
2,1950,1,66,1,0,69,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2188758850097656,5.379897117614746,7.571473598480225,0
2,1951,1,67,1,0,81,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.610917806625366,5.433722019195557,7.577633857727051,0
2,1952,1,68,1,0,93,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0.6931471824645996,0.6931471824645996,7.583756446838379,0
2,1953,1,63,1,1,12,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,2.6390573978424072,7.589841842651367,0
2,1954,1,64,1,1,24,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,3.25809645652771,7.595890045166016,0
2,1955,1,65,1,1,36,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,3.6375861167907715,7.601902008056641,0
2,1956,1,66,1,1,48,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0.6931471824645996,3.9120230674743652,7.6078782081604,0
2,1957,1,67,1,1,60,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,4.127134323120117,7.613818645477295,0
2,1958,1,68,1,1,72,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,4.304065227508545,7.619724273681641,0
2,1959,1,69,1,1,84,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,4.454347133636475,7.6255950927734375,0
2,1960,1,70,1,1,96,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0.6931471824645996,0.6931471824645996,7.631431579589844,0
2,1961,1,44,1,0,12,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,2.6390573978424072,7.637234687805176,0
2,1962,1,45,1,0,24,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,3.25809645652771,7.643003463745117,0
2,1963,0,55,1,0,2,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,3.6375861167907715,7.648739814758301,0
2,1964,1,56,1,0,14,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0.6931471824645996,3.9120230674743652,7.654443264007568,0
2,1965,1,57,1,0,26,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,4.127134323120117,7.660114288330078,0
2,1966,1,58,1,0,38,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,4.304065227508545,7.665753364562988,0
2,1967,1,59,1,0,50,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,4.454347133636475,7.671360969543457,0
2,1968,1,60,1,0,62,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0.6931471824645996,0.6931471824645996,7.676937103271484,0
2,1969,1,56,1,0,12,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,2.6390573978424072,7.6824822425842285,0
2,1970,1,57,1,0,24,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,3.25809645652771,7.687996864318848,0
2,1971,1,58,1,0,36,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,3.6375861167907715,7.693481922149658,0
2,1972,1,59,1,0,48,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0.6931471824645996,3.9120230674743652,7.698936462402344,0
2,1973,1,60,1,0,60,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,4.127134323120117,7.7043609619140625,0
2,1974,0,61,1,0,5,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,4.304065227508545,7.709756851196289,0
2,1975,0,62,1,0,17,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,4.454347133636475,7.715123653411865,0
2,1976,0,63,1,0,29,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0.6931471824645996,0.6931471824645996,7.720461368560791,0
2,1977,1,53,1,0,12,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,2.6390573978424072,7.725771427154541,0
2,1978,1,54,1,0,24,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,3.25809645652771,7.731053352355957,0
2,1979,1,55,1,0,36,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,3.6375861167907715,7.736306667327881,0
2,1980,1,56,1,0,48,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0.6931471824645996,0.6931471824645996,7.7415337562561035,0
2,1981,1,70,1,0,12,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,2.6390573978424072,7.746732711791992,0
2,1982,1,71,1,0,24,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,3.25809645652771,7.75190544128418,0
2,1983,1,72,1,0,36,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,3.6375861167907715,7.75705099105835,0
2,1984,1,73,1,0,48,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0.6931471824645996,3.9120230674743652,7.762170314788818,0
2,1985,1,74,1,0,60,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,4.127134323120117,7.767263889312744,0
2,1986,1,75,1,0,72,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,4.304065227508545,7.772331714630127,0
2,1987,1,76,1,0,84,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,4.454347133636475,7.777373790740967,0
2,1988,1,77,1,0,96,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0.6931471824645996,4.584967613220215,7.782390117645264,0
2,1989,1,65,1,0,12,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,4.7004804611206055,7.787382125854492,0
2,1990,1,66,1,0,24,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,4.804020881652832,7.792348861694336,0
2,1991,1,67,1,0,36,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,4.8978400230407715,7.797291278839111,0
2,1992,1,68,1,0,48,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0.6931471824645996,0.6931471824645996,7.802209377288818,0
2,1993,1,47,1,0,12,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,2.6390573978424072,7.807103633880615,0
2,1994,1,48,1,0,24,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,3.25809645652771,7.811973571777344,0
2,1995,1,49,1,0,36,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,3.6375861167907715,7.81682014465332,0
2,1996,1,50,1,0,48,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0.6931471824645996,3.9120230674743652,7.821643352508545,0
2,1997,1,51,1,0,60,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,4.127134323120117,7.826443195343018,0
2,1998,1,52,1,0,72,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,4.304065227508545,7.8312201499938965,0
2,1999,1,53,1,0,84,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,4.454347133636475,7.83597469329834,0
2,2000,1,54,1,0,96,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0.6931471824645996,0.6931471824645996,7.840706825256348,0
2,2001,1,55,1,0,12,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,2.6390573978424072,7.845416069030762,2
2,2002,1,56,1,0,24,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,3.25809645652771,7.850103378295898,1
2,2003,1,57,1,0,36,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,3.6375861167907715,7.854769229888916,0
2,2004,1,58,1,0,48,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0.6931471824645996,3.9120230674743652,7.859413146972656,1
2,2005,1,59,1,0,60,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,4.127134323120117,7.864035606384277,1
2,2006,1,60,1,0,72,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,4.304065227508545,7.868636608123779,1
2,2007,1,61,1,0,84,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,4.454347133636475,7.8732171058654785,1
2,2008,1,62,1,0,96,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0.6931471824645996,0.6931471824645996,7.877776145935059,1
2,2009,1,48,1,0,12,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,2.6390573978424072,7.882315158843994,1
2,2010,1,49,1,0,24,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,3.25809645652771,7.886833190917969,1
2,2011,1,50,1,0,36,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,3.6375861167907715,7.891330718994141,1
2,2012,1,51,1,0,48,Presidential Democracy,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0.6931471824645996,3.9120230674743652,7.895808219909668,1
2,2013,1,52,1,0,60,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573978424072,4.127134323120117,7.900266170501709,1
2,2014,1,53,1,0,72,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25809645652771,4.304065227508545,7.9047040939331055,1
2,2015,1,54,1,0,84,Presidential Democracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861167907715,4.454347133636475,7.909121990203857,1
