gwcode,spell_id,years,N,data_sources
31,1,1973 - 1974,2,epr; vdem
31,1,1975 - 2019,45,vdem
51,1,1962 - 1963,2,epr; vdem
51,1,1964 - 1966,3,vdem
52,1,1962 - 1963,2,epr
53,1,1966 - 1967,2,epr
54,1,1978 - 2019,42,epr; vdem
55,1,1974 - 2019,46,epr; vdem
56,1,1979 - 2019,41,epr; vdem
57,1,1979 - 2019,41,epr; vdem
58,1,1981 - 2019,39,epr; vdem
60,1,1983 - 2019,37,epr; vdem
80,1,1981 - 1982,2,epr; vdem
80,1,1983 - 2019,37,vdem
110,1,1966 - 1967,2,epr; vdem
115,1,1975 - 1976,2,epr
155,1,1974 - 1989,16,vdem
160,1,1967 - 1972,6,vdem
160,2,1977 - 1982,6,vdem
165,1,1975 - 1984,10,vdem
221,1,1950 - 2019,70,epr; vdem
223,1,1950 - 2019,70,epr; vdem
232,1,1950 - 1981,32,epr; reign; vdem
232,1,1982 - 2019,38,epr; vdem
260,1,1950,1,epr
265,1,1950,1,epr
316,1,1993 - 1994,2,epr
317,1,1993 - 1994,2,epr
331,1,1950 - 2019,70,epr; vdem
338,1,1964 - 1965,2,epr
340,1,2006 - 2007,2,epr; vdem
340,1,2008 - 2019,12,vdem
341,1,2006 - 2007,2,epr
343,1,1991 - 1992,2,epr
344,1,1992 - 1993,2,epr
346,1,1992 - 1993,2,epr
347,1,2008 - 2009,2,epr; vdem
347,1,2010 - 2012,3,vdem
347,2,2016,1,vdem
349,1,1992 - 1993,2,epr
352,1,1960 - 1961,2,epr
359,1,1991 - 1992,2,epr
366,1,1991 - 1992,2,epr
367,1,1991 - 1992,2,epr; vdem
368,1,1991 - 1992,2,epr
369,1,1991 - 1992,2,epr
370,1,1991 - 1992,2,epr
371,1,1991 - 1992,2,epr
372,1,1991 - 1992,2,epr
373,1,1991 - 1992,2,epr
396,1,2008 - 2019,12,epr; reign; vdem
397,1,2008 - 2019,12,epr; reign; vdem
402,1,1975 - 1976,2,epr
403,1,1975 - 2019,45,epr
404,1,1974 - 1975,2,epr
411,1,1968 - 1969,2,epr
