gwcode,years,missing_values_in
711,1950,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
511,1963,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
511,1964,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
817,1974,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
817,1975,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
265,1989,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
680,1989,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
265,1990,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
680,1990,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
315,1991,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
315,1992,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
345,2005,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
345,2006,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
2,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
20,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
31,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
40,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
41,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
42,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
51,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
52,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
53,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
54,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
55,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
56,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
57,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
58,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
60,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
