variable,missing,sd,integer,unique_val_ratio
epr_elf,1218,0.2951394920322771,FALSE,0.024816996964827708
epr_excluded_group_pop,1218,0.21611743543300818,FALSE,0.02419210855204428
epr_excluded_groups_count,1218,5.104744448404955,TRUE,0.0020532047848598463
epr_groups,1218,5.844566491820534,TRUE,0.002321014104624174
epr_inpower_groups_count,1218,2.249400146863482,TRUE,0.0016068559185859668
epr_inpower_groups_pop,1218,0.25478725387519513,FALSE,0.02508480628459204
epr_regaut_group_pop,1218,0,TRUE,1.7853954650955185e-4
epr_regaut_groups_count,1218,0,TRUE,1.7853954650955185e-4
gwcode,0,262.08414283152626,TRUE,0.01821103374397429
ln_state_age,0,1.1526162255739572,FALSE,0.01821103374397429
pt_attempt,0,0.18778751455276485,TRUE,1.7853954650955185e-4
pt_attempt_lead1,197,0.18828257532088682,TRUE,2.678093197643278e-4
pt_attempt_lead2,394,0.1874267842254956,TRUE,2.678093197643278e-4
pt_attempt_num,0,0.23314697807083687,TRUE,4.4634886627387967e-4
pt_attempt_num10yrs,0,1.058392074738252,TRUE,0.0010712372790573112
pt_attempt_num5yrs,0,0.653198829424871,TRUE,8.926977325477593e-4
pt_attempt_total,0,1.6999557487758141,TRUE,0.0010712372790573112
pt_coup,0,0.13907238411949369,TRUE,1.7853954650955185e-4
pt_coup_lead1,197,0.13935041674547566,TRUE,2.678093197643278e-4
pt_coup_lead2,394,0.13867994525269875,TRUE,2.678093197643278e-4
pt_coup_num,0,0.15324016752419375,TRUE,3.570790930191037e-4
pt_coup_num10yrs,0,0.6030719357478109,TRUE,6.248884127834316e-4
pt_coup_num5yrs,0,0.3860066400325069,TRUE,5.356186395286556e-4
pt_coup_total,0,1.6999557487758141,TRUE,0.0010712372790573112
pt_failed,0,0.13658176027305322,TRUE,1.7853954650955185e-4
pt_failed_lead1,197,0.1371393605794684,TRUE,2.678093197643278e-4
pt_failed_lead2,394,0.13641623763140817,TRUE,2.678093197643278e-4
pt_failed_num,0,0.16308253425604147,TRUE,4.4634886627387967e-4
pt_failed_num10yrs,0,0.6625767455010644,TRUE,8.926977325477593e-4
pt_failed_num5yrs,0,0.4277643388851031,TRUE,7.141581860382074e-4
pt_failed_total,0,1.8680820552102502,TRUE,0.001249776825566863
reign_age,171,11.211318459617804,TRUE,0.007052312087127299
reign_anticipation,171,0.3087445583642575,TRUE,2.678093197643278e-4
reign_change_recent,171,0.1999133301749008,TRUE,2.678093197643278e-4
reign_defeat_recent,171,0.18445533865389843,TRUE,2.678093197643278e-4
reign_delayed,171,0.08537965007098117,TRUE,2.678093197643278e-4
reign_direct_recent,171,0.2974460098057351,TRUE,2.678093197643278e-4
reign_elected,171,0.47371370652945183,TRUE,2.678093197643278e-4
reign_election_now,171,0.1473730432026731,TRUE,2.678093197643278e-4
reign_election_recent,171,0.30851343568475437,TRUE,2.678093197643278e-4
reign_exec_ant,171,0.23050267317198764,TRUE,2.678093197643278e-4
reign_exec_recent,171,0.21155973461793,TRUE,2.678093197643278e-4
reign_gov_military,171,0.24018880167610174,TRUE,2.678093197643278e-4
reign_gov_parl,171,0.4606791560613714,TRUE,2.678093197643278e-4
reign_gov_party,171,0.4142761108446699,TRUE,2.678093197643278e-4
reign_gov_personal,171,0.4147653690296036,TRUE,2.678093197643278e-4
reign_gov_pres,171,0.37003845745937763,TRUE,2.678093197643278e-4
reign_gov_provisional,171,0.09478393804630002,TRUE,2.678093197643278e-4
reign_indirect_recent,171,0.08795527889941988,TRUE,2.678093197643278e-4
reign_irreg_lead_ant,171,0.12943700488555293,TRUE,2.678093197643278e-4
reign_irregular,171,1.4654798942967397,FALSE,0.11176575611497946
reign_lastelection,171,1.3258347651874114,FALSE,0.06543474379575076
reign_lead_recent,171,0.29535208890354725,TRUE,2.678093197643278e-4
reign_leg_ant,171,0.19887089163038527,TRUE,2.678093197643278e-4
reign_leg_recent,171,0.2171010734366664,TRUE,2.678093197643278e-4
reign_loss,171,1.3814656693900087,FALSE,0.08748437778968042
reign_male,171,0.16579034449091212,TRUE,2.678093197643278e-4
reign_militarycareer,171,0.39684230790563996,TRUE,2.678093197643278e-4
reign_nochange_recent,171,0.24281851280383432,TRUE,2.678093197643278e-4
reign_prev_conflict,171,0.5978590893073426,TRUE,8.926977325477593e-4
reign_ref_ant,171,0.09981081689636122,TRUE,2.678093197643278e-4
reign_ref_recent,171,0.10833123601177672,TRUE,2.678093197643278e-4
reign_tenure_months,171,96.337116669461,TRUE,0.047670058918050345
reign_victory_recent,171,0.2549797382141286,TRUE,2.678093197643278e-4
vdem_v2x_accountability,1782,1.00772701155568,FALSE,0.29012676307802177
vdem_v2x_api,1801,0.27975234518177766,FALSE,0.08061060524906266
vdem_v2x_civlib,1782,0.28762401549509503,FALSE,0.08373504731297983
vdem_v2x_clphy,1782,0.31043182012225856,FALSE,0.08293161935368684
vdem_v2x_clpol,1782,0.33362899191175327,FALSE,0.08623460096411355
vdem_v2x_clpriv,1782,0.2859642682434232,FALSE,0.0815925727548652
vdem_v2x_corr,1816,0.2947066277148594,FALSE,0.08257454026066774
vdem_v2x_cspart,1782,0.28822699041581307,FALSE,0.08186038207462953
vdem_v2x_delibdem,1801,0.27153501691105225,FALSE,0.07918228887698625
vdem_v2x_diagacc,1782,1.0386230283669868,FALSE,0.2930726655954294
vdem_v2x_divparctrl,1820,0.9694837762230554,FALSE,0.14783074450990893
vdem_v2x_EDcomp_thick,1801,0.28523553858527534,FALSE,0.07989644706302446
vdem_v2x_egal,1782,0.230553909105291,FALSE,0.07891447955722193
vdem_v2x_egaldem,1801,0.24561435397865164,FALSE,0.07686127477236208
vdem_v2x_elecoff,1782,0.41522634068737996,FALSE,0.006427423674343867
vdem_v2x_elecreg,1782,0.35489137906498325,TRUE,2.678093197643278e-4
vdem_v2x_ex_confidence,1782,0.3839254189825551,FALSE,6.248884127834316e-4
vdem_v2x_ex_direlect,1782,0.47007527712460484,FALSE,3.570790930191037e-4
vdem_v2x_ex_hereditary,1782,0.16190186338562917,FALSE,0.006338153901089091
vdem_v2x_ex_military,1782,0.23779519813915165,FALSE,0.012854847348687734
vdem_v2x_ex_party,1782,0.21398455154542992,FALSE,0.012587038028923407
vdem_v2x_execorr,1782,0.29917482663243283,FALSE,0.07766470273165506
vdem_v2x_feduni,1783,0.3556399579480584,FALSE,0.05811462238885913
vdem_v2x_frassoc_thick,1782,0.3393520111697213,FALSE,0.08177111230137475
vdem_v2x_freexp,1782,0.3233501644158887,FALSE,0.08534190323156579
vdem_v2x_freexp_altinf,1782,0.33028737872198194,FALSE,0.08516336368505624
vdem_v2x_gencl,1782,0.2732262939610702,FALSE,0.08016425638278879
vdem_v2x_gencs,1782,0.24833688663198047,FALSE,0.0790037493304767
vdem_v2x_gender,1940,0.22700732867154616,FALSE,0.0764149259060882
vdem_v2x_genpp,1940,0.27314614047001423,FALSE,0.07525441885377611
vdem_v2x_horacc,1782,1.0412338722503012,FALSE,0.3036957686127477
vdem_v2x_hosabort,1782,0.06421389619526247,TRUE,2.678093197643278e-4
vdem_v2x_hosinter,1782,0.09566265045424413,TRUE,2.678093197643278e-4
vdem_v2x_jucon,1813,0.30733522353091514,FALSE,0.08435993572576325
vdem_v2x_legabort,1782,0.04603107047979552,TRUE,2.678093197643278e-4
vdem_v2x_libdem,1834,0.27609313031936467,FALSE,0.07855740046420281
vdem_v2x_liberal,1815,0.29010756887457184,FALSE,0.08587752187109444
vdem_v2x_mpi,1801,0.30980926411263554,FALSE,0.07784324227816461
vdem_v2x_neopat,1783,0.30652751107977716,FALSE,0.08694875915015175
vdem_v2x_partip,1782,0.20772551528499344,FALSE,0.07132654883056597
vdem_v2x_partipdem,1801,0.21441056921594548,FALSE,0.06757721835386538
vdem_v2x_polyarchy,1801,0.2866310030417297,FALSE,0.08052133547580789
vdem_v2x_pubcorr,1782,0.2973201146907981,FALSE,0.07507587930726656
vdem_v2x_rule,1782,0.30764061558918493,FALSE,0.08623460096411355
vdem_v2x_suffr,1782,0.1924795761032226,FALSE,0.00241028387787895
vdem_v2x_veracc,1782,0.8710083349061848,FALSE,0.2440635600785574
wdi_infmort,1999,50.0218989891794,FALSE,0.1946973754686663
wdi_infmort_imputed,1999,0.22474697444864836,TRUE,2.678093197643278e-4
wdi_infmort_yearadj,1999,0.9967890199829756,FALSE,0.7429923227995001
year,0,19.088669133084338,TRUE,0.006248884127834315
years_since_last_pt_attempt,0,18.066135578498045,TRUE,0.006338153901089091
years_since_last_pt_coup,0,18.320731236036693,TRUE,0.006338153901089091
years_since_last_pt_failed,0,18.139343851692566,TRUE,0.006338153901089091
