set_idx,date,outcome,N,cases,pos_rate,roc_auc,roc_pr
1,2020-04-12,attempt,1508,18,0.011936339522546418,0.7795674869500373,0.046228519542592286
1,2020-04-12,coup,1507,10,0.006635700066357001,0.7935871743486974,0.03223088583350272
1,2020-04-12,failed,1507,9,0.005972130059721301,0.7570835187657617,0.025421439726245384
2,2020-04-16,attempt,1507,18,0.011944260119442602,0.7778150884262368,0.04682807899315686
2,2020-04-16,coup,1507,10,0.006635700066357001,0.7982631930527722,0.034681643166552194
2,2020-04-16,failed,1507,9,0.005972130059721301,0.7698041833555852,0.02039634585046903
3,2020-04-16,attempt,1507,18,0.011944260119442602,0.7809491828967987,0.04941829861841675
3,2020-04-16,coup,1507,10,0.006635700066357001,0.774682698730795,0.032461629251214305
3,2020-04-16,failed,1507,9,0.005972130059721301,0.7537828215398309,0.02703405915627558
4,2020-04-16,attempt,1507,18,0.011944260119442602,0.7705768226251772,0.055087883246383106
4,2020-04-16,coup,1507,10,0.006635700066357001,0.7809619238476954,0.02263541180785591
4,2020-04-16,failed,1507,9,0.005972130059721301,0.7984349503041092,0.019598302196084483
5,2020-04-17,attempt,1507,18,0.011944260119442602,0.7838407581523766,0.05859031736260484
5,2020-04-17,coup,1507,10,0.006635700066357001,0.7762191048764195,0.0303976984935976
5,2020-04-17,failed,1507,9,0.005972130059721301,0.7688399347277851,0.019214363413255078
6,2020-04-17,attempt,1507,18,0.011944260119442602,0.7833743750466383,0.05935028218684515
6,2020-04-17,coup,1507,10,0.006635700066357001,0.8012692050768203,0.03463959092127521
6,2020-04-17,failed,1507,9,0.005972130059721301,0.7869010532561934,0.02404974337585579
7,2020-04-17,attempt,1507,18,0.011944260119442602,0.7671442429669427,0.06644011505147795
7,2020-04-17,coup,1507,10,0.006635700066357001,0.76790247160988645,0.03211349009521105
7,2020-04-17,failed,1507,9,0.005972130059721301,0.7716214211541315,0.02740025468608831
8,2020-04-20,attempt,1518,18,0.011857707509881422,0.7731666666666667,0.04228593295858703
8,2020-04-20,coup,1518,10,0.006587615283267457,0.7904840848806366,0.026334825722302543
8,2020-04-20,failed,1518,9,0.005928853754940711,0.7340402032250939,0.024661968115266837
9,2020-04-21,attempt,1518,18,0.011857707509881422,0.7632592592592592,0.10174158098409221
9,2020-04-21,coup,1518,10,0.006587615283267457,0.777420424403183,0.030173539269638547
9,2020-04-21,failed,1518,9,0.005928853754940711,0.790516162285546,0.01826236286164102
