task_id,year,learner_id,resampling_id,iters,classif.auc,num.trees,mtry,min.node.size
attempt,2018,classif.ranger,repeated_cv,16,0.8311315614284662,1000,19,55
attempt,2018,classif.ranger,repeated_cv,16,0.8322450814832086,1000,22,200
attempt,2018,classif.ranger,repeated_cv,16,0.8301387156205425,1000,10,246
attempt,2018,classif.ranger,repeated_cv,16,0.8297934206982209,1000,12,19
attempt,2018,classif.ranger,repeated_cv,16,0.8322914302917594,1000,16,258
attempt,2018,classif.ranger,repeated_cv,16,0.8340285288022363,1000,25,278
attempt,2018,classif.ranger,repeated_cv,16,0.830073451958192,1000,14,21
attempt,2018,classif.ranger,repeated_cv,16,0.8334026499323267,1000,25,292
attempt,2018,classif.ranger,repeated_cv,16,0.8321444780689284,1000,23,160
attempt,2018,classif.ranger,repeated_cv,16,0.8296597768794184,1000,9,268
attempt,2018,classif.ranger,repeated_cv,16,0.8321435734068795,1000,26,6
attempt,2018,classif.ranger,repeated_cv,16,0.8298328290716832,1000,14,64
attempt,2018,classif.ranger,repeated_cv,16,0.8315974811693397,1000,12,288
attempt,2018,classif.ranger,repeated_cv,16,0.8292683065754437,1000,14,38
attempt,2018,classif.ranger,repeated_cv,16,0.8335629136936876,1000,29,224
attempt,2018,classif.ranger,repeated_cv,16,0.8318340005582106,1000,14,245
attempt,2018,classif.ranger,repeated_cv,16,0.8342912932736626,1000,26,3
attempt,2018,classif.ranger,repeated_cv,16,0.8320893202722731,1000,18,205
attempt,2018,classif.ranger,repeated_cv,16,0.8303826171585406,1000,19,47
attempt,2018,classif.ranger,repeated_cv,16,0.833329301144347,1000,22,281
