gwcode,year,for_year,outcome,observed,p
2,2010,2011,attempt,0,0.0024198444193515374
20,2010,2011,attempt,0,7.233427947818448e-4
40,2010,2011,attempt,0,0.009180268899628826
41,2010,2011,attempt,0,0.017969166246825263
42,2010,2011,attempt,0,0.0044227661691633195
51,2010,2011,attempt,0,0.002673977842093229
52,2010,2011,attempt,0,2.646464564429324e-4
53,2010,2011,attempt,0,0.0010779472968744982
70,2010,2011,attempt,0,0.007343598747590493
90,2010,2011,attempt,0,0.03518829045570782
91,2010,2011,attempt,0,0.08904243192864149
92,2010,2011,attempt,0,0.007574098573391203
93,2010,2011,attempt,0,0.010929133501664016
94,2010,2011,attempt,0,8.835490344068743e-4
95,2010,2011,attempt,0,0.0017354663620068606
100,2010,2011,attempt,0,0.0064314412731208016
101,2010,2011,attempt,0,0.022624313808038116
110,2010,2011,attempt,0,0.002498822354103504
115,2010,2011,attempt,0,0.014877143732593733
130,2010,2011,attempt,0,0.0667062161135817
135,2010,2011,attempt,0,0.018093819218594858
140,2010,2011,attempt,0,0.0148844296606674
145,2010,2011,attempt,0,0.021192080292169457
150,2010,2011,attempt,0,0.011865917936166566
155,2010,2011,attempt,0,8.168929378258128e-4
160,2010,2011,attempt,0,0.016391224387422472
165,2010,2011,attempt,0,0.011231042518059814
200,2010,2011,attempt,0,0.0012657062954690294
205,2010,2011,attempt,0,0
210,2010,2011,attempt,0,0.0012657062954690294
211,2010,2011,attempt,0,2.166806561389673e-5
212,2010,2011,attempt,0,4.128084016284659e-4
220,2010,2011,attempt,0,0.0022695974923391577
225,2010,2011,attempt,0,0.0013966374942240003
230,2010,2011,attempt,0,0.00460627422957527
235,2010,2011,attempt,0,5.435453594946026e-4
260,2010,2011,attempt,0,2.2359006734006735e-5
290,2010,2011,attempt,0,1.3925642443656704e-4
305,2010,2011,attempt,0,0
310,2010,2011,attempt,0,2.1126063566466924e-4
316,2010,2011,attempt,0,3.0489987027275346e-4
317,2010,2011,attempt,0,4.4293978191442025e-4
325,2010,2011,attempt,0,0.0014496728968201617
338,2010,2011,attempt,0,9.021485189623329e-4
339,2010,2011,attempt,0,4.993200101967485e-4
340,2010,2011,attempt,0,0.002109748198647083
341,2010,2011,attempt,0,0.0031444433054168895
343,2010,2011,attempt,0,0.0035366069130790137
344,2010,2011,attempt,0,4.210334632055634e-4
346,2010,2011,attempt,0,0.0024587415803451504
349,2010,2011,attempt,0,3.0201554887632133e-4
350,2010,2011,attempt,0,3.149078864619483e-4
352,2010,2011,attempt,0,4.582554227866975e-5
355,2010,2011,attempt,0,0.014794801837224572
359,2010,2011,attempt,0,0.0028177609433071528
360,2010,2011,attempt,0,4.799857926088828e-4
365,2010,2011,attempt,0,0.022514698226583345
366,2010,2011,attempt,0,4.096751976616887e-5
367,2010,2011,attempt,0,4.1205386731332e-4
368,2010,2011,attempt,0,1.5625e-5
369,2010,2011,attempt,0,0.02330708410640312
370,2010,2011,attempt,0,0.003947965452649807
371,2010,2011,attempt,0,0.01145567236310181
372,2010,2011,attempt,0,0.0033288991333334105
373,2010,2011,attempt,0,0.016879668253634777
375,2010,2011,attempt,0,2.95109862997794e-5
380,2010,2011,attempt,0,0.0015169432327202528
385,2010,2011,attempt,0,1.0475210294388389e-4
390,2010,2011,attempt,0,0.002058088281821861
395,2010,2011,attempt,0,1.5625e-5
402,2010,2011,attempt,0,9.99148942817116e-4
404,2010,2011,attempt,0,0.2238938141518316
411,2010,2011,attempt,0,0.03128676700124043
420,2010,2011,attempt,0,0.01220548942411742
432,2010,2011,attempt,0,0.022139712517806276
433,2010,2011,attempt,0,0.024391627686129524
434,2010,2011,attempt,0,0.008327255037419538
435,2010,2011,attempt,0,0.14209224860581052
436,2010,2011,attempt,0,0.19167866833427122
437,2010,2011,attempt,0,0.06849813022724807
438,2010,2011,attempt,1,0.15773873688892492
439,2010,2011,attempt,0,0.022688106098284568
450,2010,2011,attempt,0,0.02072429544681361
451,2010,2011,attempt,0,0.03784265928217517
452,2010,2011,attempt,0,0.009532374605519249
461,2010,2011,attempt,0,0.053388223861820246
471,2010,2011,attempt,0,0.03512170177825918
475,2010,2011,attempt,0,0.03524664047179797
481,2010,2011,attempt,0,0.033391089743007155
482,2010,2011,attempt,0,0.11004662831096947
483,2010,2011,attempt,0,0.10929875613698632
484,2010,2011,attempt,0,0.024461729349329716
490,2010,2011,attempt,0,0.08643758832064859
500,2010,2011,attempt,0,0.02698157659605578
501,2010,2011,attempt,0,0.038349009640931755
510,2010,2011,attempt,0,0.0034536890260365993
516,2010,2011,attempt,0,0.059140844156751214
517,2010,2011,attempt,0,0.023268981401880485
522,2010,2011,attempt,0,0.021242790282979287
530,2010,2011,attempt,0,0.019583805879461784
531,2010,2011,attempt,0,0.047544607891257765
540,2010,2011,attempt,0,0.06082383701924323
541,2010,2011,attempt,0,0.003591137346732775
551,2010,2011,attempt,0,0.04418424382718812
552,2010,2011,attempt,0,0.04255604856854234
553,2010,2011,attempt,0,0.008833758809766471
560,2010,2011,attempt,0,0.0018808037431260042
565,2010,2011,attempt,0,0.0014472642538970347
570,2010,2011,attempt,0,0.036023988797999305
571,2010,2011,attempt,0,0.005149687539276683
572,2010,2011,attempt,0,0.005755933803415463
580,2010,2011,attempt,0,0.183672797509387
581,2010,2011,attempt,0,0.04620872988931499
590,2010,2011,attempt,0,2.57165011575597e-4
600,2010,2011,attempt,0,0.015142576320250666
615,2010,2011,attempt,0,0.03930392675329848
616,2010,2011,attempt,0,0.007373715624124961
620,2010,2011,attempt,0,0.07031914783642512
625,2010,2011,attempt,0,0.06553381714639739
630,2010,2011,attempt,0,0.0058815161194454135
640,2010,2011,attempt,0,0.010686248671297372
645,2010,2011,attempt,0,0.01072567230561989
651,2010,2011,attempt,1,0.03154256273351549
652,2010,2011,attempt,0,0.020855505752162936
660,2010,2011,attempt,0,0.03423093506800194
663,2010,2011,attempt,0,0.0032438815050248896
666,2010,2011,attempt,0,0.001199379445377311
670,2010,2011,attempt,0,0.031241334917051965
678,2010,2011,attempt,0,0.0321350081728247
690,2010,2011,attempt,0,0.0019069145518820765
692,2010,2011,attempt,0,0.03946549784334559
694,2010,2011,attempt,0,0.05862625645665758
696,2010,2011,attempt,0,0.009874401541531908
698,2010,2011,attempt,0,0.012880953940430344
700,2010,2011,attempt,0,0.019104630725224094
701,2010,2011,attempt,0,0.007927463437167789
702,2010,2011,attempt,0,0.007572183820410773
703,2010,2011,attempt,0,0.006511878859674685
704,2010,2011,attempt,0,0.011719061066366535
705,2010,2011,attempt,0,0.0039210652531098894
