task_id,learner_id,resampling_id,iters,classif.auc,num.trees,mtry,min.node.size
attempt,classif.ranger,repeated_cv,8,0.8064967218079852,2440,7,260
attempt,classif.ranger,repeated_cv,8,0.8104310988472327,1577,3,303
attempt,classif.ranger,repeated_cv,8,0.8026116527814696,2139,14,320
attempt,classif.ranger,repeated_cv,8,0.8029344862555294,1910,12,98
attempt,classif.ranger,repeated_cv,8,0.8067997622317302,782,6,211
attempt,classif.ranger,repeated_cv,8,0.8040523576891155,1752,11,363
attempt,classif.ranger,repeated_cv,8,0.8076829961043426,918,5,352
attempt,classif.ranger,repeated_cv,8,0.8041055787518836,701,10,379
attempt,classif.ranger,repeated_cv,8,0.8073137641044199,2842,6,99
attempt,classif.ranger,repeated_cv,8,0.8022455856664881,762,14,284
coup,classif.ranger,repeated_cv,8,0.776725999921541,2375,11,328
coup,classif.ranger,repeated_cv,8,0.7725393002527808,761,13,267
coup,classif.ranger,repeated_cv,8,0.7780219017256782,2822,8,383
coup,classif.ranger,repeated_cv,8,0.7845575215169845,1068,3,364
coup,classif.ranger,repeated_cv,8,0.7742884812088952,1406,14,360
coup,classif.ranger,repeated_cv,8,0.7735291821553334,2710,8,65
coup,classif.ranger,repeated_cv,8,0.7707024616996475,1963,10,80
coup,classif.ranger,repeated_cv,8,0.7716430150921174,2744,12,44
coup,classif.ranger,repeated_cv,8,0.7756434453872897,2130,12,368
coup,classif.ranger,repeated_cv,8,0.7786610433922179,1456,6,163
failed,classif.ranger,repeated_cv,8,0.8206992006479097,2559,10,255
failed,classif.ranger,repeated_cv,8,0.8182441892403285,982,12,147
failed,classif.ranger,repeated_cv,8,0.8211761523614528,796,8,119
failed,classif.ranger,repeated_cv,8,0.8278189778647014,2922,3,139
failed,classif.ranger,repeated_cv,8,0.8183809007577743,1459,13,275
failed,classif.ranger,repeated_cv,8,0.8276042151818622,1167,6,7
failed,classif.ranger,repeated_cv,8,0.8282731405799546,1994,3,56
failed,classif.ranger,repeated_cv,8,0.8209626568123181,1586,10,309
failed,classif.ranger,repeated_cv,8,0.8186515559113392,1788,11,167
failed,classif.ranger,repeated_cv,8,0.8229446784754547,2079,7,115
