variable,value,outcome
vdem_v2x_ex_military,0.008431074878866723,attempt
wdi_infmort,0.004204400068569609,attempt
wdi_infmort_yearadj,0.003750403294154561,attempt
years_since_last_pt_attempt,0.0030195090125449365,attempt
vdem_v2x_egaldem,0.00251862077759507,attempt
vdem_v2x_gender,0.0024665536398891094,attempt
vdem_v2x_clphy,0.0023849637270703097,attempt
vdem_v2x_horacc,0.002039580253792981,attempt
vdem_v2x_egal,0.0019003668163809083,attempt
vdem_v2x_gencl,0.0017834663064837464,attempt
vdem_v2x_diagacc,0.0017358363340503529,attempt
years_since_last_pt_coup,0.0016574879151858243,attempt
pt_attempt_num5yrs,0.001530308321812868,attempt
vdem_v2x_liberal,0.0014819394084164587,attempt
vdem_v2x_freexp_altinf,0.001460769913608827,attempt
vdem_v2x_accountability,0.0014145603084805079,attempt
vdem_v2x_api,0.0013606209723883108,attempt
vdem_v2x_delibdem,0.001353312916845763,attempt
vdem_v2x_freexp,0.0013369914049498588,attempt
vdem_v2x_mpi,0.0013151014529720418,attempt
vdem_v2x_libdem,0.0013027336550806646,attempt
vdem_v2x_clpriv,0.0013014677409217887,attempt
pt_coup_num10yrs,0.0012589367998660256,attempt
vdem_v2x_cspart,0.0012084338868406422,attempt
pt_coup_num5yrs,0.0011925505031536482,attempt
vdem_v2x_clpol,0.0011570244315726658,attempt
vdem_v2x_partipdem,0.0011352649161721021,attempt
vdem_v2x_frassoc_thick,0.0011336571473527647,attempt
vdem_v2x_EDcomp_thick,0.0011283999009388127,attempt
vdem_v2x_polyarchy,0.0011097331978985896,attempt
vdem_v2x_corr,0.0011040173327388784,attempt
vdem_v2x_neopat,0.0010157925564371804,attempt
years_since_last_pt_failed,0.0010110499216184124,attempt
vdem_v2x_execorr,0.0010063627169785599,attempt
vdem_v2x_civlib,0.0010043533397708602,attempt
vdem_v2x_jucon,9.860365324211085e-4,attempt
vdem_v2x_rule,9.794441106740397e-4,attempt
vdem_v2x_gencs,9.7481378996467e-4,attempt
vdem_v2x_genpp,8.263192046113128e-4,attempt
vdem_v2x_partip,8.249695332311391e-4,attempt
reign_irregular,7.874896996215149e-4,attempt
reign_tenure_months,7.812753740412827e-4,attempt
pt_attempt_num10yrs,7.576735493693861e-4,attempt
vdem_v2x_pubcorr,6.905324735702222e-4,attempt
ln_state_age,6.106257138364447e-4,attempt
vdem_v2x_feduni,6.078368313064626e-4,attempt
vdem_v2x_veracc,5.311175837339625e-4,attempt
reign_loss,4.608794288088645e-4,attempt
vdem_v2x_accountability_sd,3.743362719155894e-4,attempt
vdem_v2x_ex_hereditary,3.484985838763904e-4,attempt
reign_lastelection,3.1551969896731957e-4,attempt
vdem_v2x_ex_military_sd,2.877840671374594e-4,attempt
vdem_v2x_freexp_altinf_sd,2.7702606988094206e-4,attempt
pt_attempt_total,2.5272529879515873e-4,attempt
vdem_v2x_diagacc_sd,2.4751646943033974e-4,attempt
vdem_v2x_horacc_sd,2.4424532490694616e-4,attempt
vdem_v2x_api_sd,2.1174934571260748e-4,attempt
pt_coup_total,2.0768846369244125e-4,attempt
reign_gov_pres,2.0006602138645372e-4,attempt
vdem_v2x_civlib_sd,1.9438183923468555e-4,attempt
vdem_v2x_clpriv_sd,1.9243079087350023e-4,attempt
vdem_v2x_mpi_sd,1.84953970500946e-4,attempt
vdem_v2x_clpol_sd,1.8373234561441023e-4,attempt
vdem_v2x_egaldem_sd,1.74059343148469e-4,attempt
vdem_v2x_polyarchy_sd,1.7013176052550844e-4,attempt
pt_attempt_num,1.663927474430923e-4,attempt
vdem_v2x_frassoc_thick_sd,1.6404458917740022e-4,attempt
vdem_v2x_gender_sd,1.594135003505497e-4,attempt
vdem_v2x_freexp_altinf_d1,1.4913660579001263e-4,attempt
pt_attempt,1.491005708759073e-4,attempt
vdem_v2x_freexp_sd,1.4751232713940918e-4,attempt
vdem_v2x_ex_confidence,1.443353205679257e-4,attempt
vdem_v2x_gencs_sd,1.4430004681487374e-4,attempt
vdem_v2x_gencl_d1,1.4200359100398498e-4,attempt
vdem_v2x_veracc_sd,1.392666913815531e-4,attempt
vdem_v2x_libdem_sd,1.3844735646503388e-4,attempt
vdem_v2x_mpi_d1,1.3587010272641083e-4,attempt
pt_failed_num5yrs,1.313976081781465e-4,attempt
vdem_v2x_clphy_d1,1.2837160669077068e-4,attempt
vdem_v2x_partipdem_sd,1.2709143576675384e-4,attempt
oil_price_real,1.2493522410947762e-4,attempt
vdem_v2x_libdem_d1,1.2247264225888872e-4,attempt
vdem_v2x_api_d1,1.2191426408505432e-4,attempt
vdem_v2x_delibdem_d1,1.2124563979088738e-4,attempt
pt_failed_num10yrs,1.2095643927447735e-4,attempt
vdem_v2x_egal_sd,1.2083267890416731e-4,attempt
reign_gov_parl,1.202332350965469e-4,attempt
vdem_v2x_EDcomp_thick_sd,1.1862478917628466e-4,attempt
vdem_v2x_EDcomp_thick_d1,1.1594550734982264e-4,attempt
vdem_v2x_frassoc_thick_d1,1.1035093529313829e-4,attempt
vdem_v2x_delibdem_sd,1.0857301601455864e-4,attempt
epr_elf,1.0786555287575523e-4,attempt
vdem_v2x_neopat_d1,1.07755090112918e-4,attempt
vdem_v2x_liberal_sd,1.053397159800907e-4,attempt
reign_gov_military,1.048940495518947e-4,attempt
vdem_v2x_clphy_sd,1.0124701956181375e-4,attempt
vdem_v2x_polyarchy_d1,1.0020719520973469e-4,attempt
vdem_v2x_jucon_sd,9.912624552541312e-5,attempt
vdem_v2x_ex_military_d1,9.896687670714383e-5,attempt
vdem_v2x_diagacc_d1,9.723597405128803e-5,attempt
vdem_v2x_freexp_d1,9.575206443884768e-5,attempt
vdem_v2x_pubcorr_sd,9.570329084169682e-5,attempt
vdem_v2x_partipdem_d1,9.34815142548616e-5,attempt
vdem_v2x_ex_confidence_sd,9.295533684102693e-5,attempt
reign_male,8.993132533981216e-5,attempt
vdem_v2x_partip_sd,8.966694658245531e-5,attempt
vdem_v2x_cspart_sd,8.829308170712276e-5,attempt
pt_failed_total,8.756936188081282e-5,attempt
vdem_v2x_divparctrl,8.459234499223391e-5,attempt
epr_excluded_groups_count,8.332313923176602e-5,attempt
vdem_v2x_ex_party,8.175423773118756e-5,attempt
vdem_v2x_egaldem_d1,8.150766070808264e-5,attempt
vdem_v2x_liberal_d1,7.675879611771704e-5,attempt
vdem_v2x_clpol_d1,7.645053619418176e-5,attempt
vdem_v2x_gencl_sd,7.623585861783286e-5,attempt
vdem_v2x_neopat_sd,7.36480862279789e-5,attempt
