variable,value,outcome
vdem_v2x_ex_military,0.014631192524215544,coup
wdi_infmort,0.00994528728473724,coup
wdi_infmort_yearadj,0.008914264876967386,coup
vdem_v2x_gencl,0.007242832098479033,coup
vdem_v2x_diagacc,0.00669560153787003,coup
vdem_v2x_gender,0.005396792092684376,coup
vdem_v2x_freexp_altinf,0.005263573933478756,coup
vdem_v2x_jucon,0.005110856320901318,coup
vdem_v2x_clpol,0.004899024343963389,coup
vdem_v2x_freexp,0.004690557892459155,coup
vdem_v2x_egaldem,0.004688226455108901,coup
vdem_v2x_clphy,0.004633755645692321,coup
vdem_v2x_neopat,0.004603109130956077,coup
vdem_v2x_clpriv,0.004419067770792572,coup
vdem_v2x_liberal,0.004345630225810189,coup
vdem_v2x_polyarchy,0.0042671685783908985,coup
vdem_v2x_accountability,0.004192175367094261,coup
vdem_v2x_api,0.004153384173294309,coup
vdem_v2x_delibdem,0.004117818588749846,coup
vdem_v2x_egal,0.004106231856625396,coup
vdem_v2x_libdem,0.0039448333774195305,coup
vdem_v2x_rule,0.003934631875886427,coup
vdem_v2x_pubcorr,0.003918069364616936,coup
vdem_v2x_corr,0.0038085838013417425,coup
vdem_v2x_civlib,0.00375058442237343,coup
vdem_v2x_mpi,0.003739888365865194,coup
vdem_v2x_gencs,0.0036760749601142686,coup
vdem_v2x_frassoc_thick,0.0036084074667515,coup
vdem_v2x_veracc,0.003606541826708819,coup
years_since_last_pt_attempt,0.0035476146841772684,coup
vdem_v2x_cspart,0.0035068673919048084,coup
vdem_v2x_EDcomp_thick,0.003429844441304374,coup
vdem_v2x_partipdem,0.0033623409004004444,coup
years_since_last_pt_coup,0.0031421089420353137,coup
vdem_v2x_execorr,0.003015165071241906,coup
vdem_v2x_partip,0.0029917267781244127,coup
vdem_v2x_horacc,0.0029444380228431715,coup
reign_tenure_months,0.0025563699775961214,coup
reign_irregular,0.0025092728739091116,coup
pt_coup_num10yrs,0.002375290522821286,coup
ln_state_age,0.002157999517350261,coup
years_since_last_pt_failed,0.0018982467717213306,coup
pt_attempt_num10yrs,0.0017572713665315065,coup
reign_gov_parl,0.001753502266675389,coup
vdem_v2x_genpp,0.0016917049881850182,coup
vdem_v2x_feduni,0.0016728549531698925,coup
reign_loss,0.0015859607934715983,coup
epr_elf,0.0010020459465456555,coup
pt_attempt_num5yrs,9.875081196061303e-4,coup
pt_coup_num5yrs,9.235815649233911e-4,coup
vdem_v2x_ex_confidence,8.302774151404207e-4,coup
vdem_v2x_divparctrl,7.687442774827393e-4,coup
reign_lastelection,7.612344441911364e-4,coup
epr_inpower_groups_pop,6.7106393085315e-4,coup
reign_age,6.515995284512971e-4,coup
pt_attempt_total,5.989577429659274e-4,coup
pt_coup_total,5.782858746398405e-4,coup
epr_excluded_group_pop,5.477834728758604e-4,coup
vdem_v2x_ex_hereditary,5.420067060571237e-4,coup
epr_groups,4.892563734043574e-4,coup
pt_failed_total,3.930560078875527e-4,coup
reign_gov_personal,3.7558962455283996e-4,coup
vdem_v2x_suffr,3.0495677627255004e-4,coup
reign_militarycareer,3.0096556351721026e-4,coup
vdem_v2x_ex_party,2.948126303067696e-4,coup
vdem_v2x_ex_direlect,2.7563093396703556e-4,coup
reign_gov_pres,2.746884109779422e-4,coup
reign_gov_military,2.586499771345832e-4,coup
epr_excluded_groups_count,2.477273573656187e-4,coup
reign_male,2.3916905333398655e-4,coup
pt_failed_num10yrs,2.3534262811635142e-4,coup
vdem_v2x_elecoff,2.276593194540368e-4,coup
wdi_infmort_imputed,1.8568860862942004e-4,coup
reign_gov_party,1.3269266628967072e-4,coup
epr_inpower_groups_count,1.2026212504845878e-4,coup
reign_prev_conflict,8.734675383594108e-5,coup
vdem_v2x_legabort,8.236225450453119e-5,coup
pt_failed_num5yrs,6.74952266805823e-5,coup
reign_defeat_recent,5.518988125667512e-5,coup
reign_elected,5.186108421068345e-5,coup
pt_attempt,4.0855788436814433e-5,coup
vdem_v2x_elecreg,3.88365584837486e-5,coup
reign_gov_provisional,3.368773523217321e-5,coup
reign_change_recent,3.151272964760434e-5,coup
pt_attempt_num,2.961583687591998e-5,coup
reign_exec_ant,1.4237133577597908e-5,coup
reign_delayed,1.3196054757237975e-5,coup
reign_direct_recent,1.125930760128636e-5,coup
reign_anticipation,8.418314403803742e-6,coup
pt_coup,7.468947092764317e-6,coup
reign_leg_ant,5.0675977328008495e-6,coup
reign_lead_recent,3.76027695348654e-6,coup
pt_coup_num,3.131297901704282e-6,coup
reign_victory_recent,2.5185367258160017e-6,coup
reign_election_recent,2.3516349131075376e-6,coup
reign_election_now,6.225341943273787e-7,coup
reign_nochange_recent,2.5335522148117063e-7,coup
vdem_v2x_hosinter,1.7004148810908467e-7,coup
reign_leg_recent,3.856038395210684e-8,coup
epr_regaut_group_pop,0,coup
epr_regaut_groups_count,0,coup
reign_indirect_recent,-5.80976489866465e-7,coup
reign_exec_recent,-1.141589933268492e-6,coup
pt_failed,-6.206324824520079e-6,coup
vdem_v2x_hosabort,-6.3623619072987064e-6,coup
reign_ref_ant,-8.1103733500448e-6,coup
reign_ref_recent,-1.1537179940005789e-5,coup
pt_failed_num,-1.4964306004021875e-5,coup
reign_irreg_lead_ant,-2.752968852558407e-5,coup
