variable,value,outcome
vdem_v2x_egaldem,0.002223304131166522,failed
vdem_v2x_polyarchy,0.0016757057218653767,failed
vdem_v2x_ex_military,0.0016267679480796355,failed
vdem_v2x_mpi,0.0013203745026358878,failed
vdem_v2x_horacc,0.0012974862433363043,failed
vdem_v2x_api,0.001244275969926491,failed
vdem_v2x_libdem,0.0012223444336890593,failed
vdem_v2x_partipdem,0.0011612459652557746,failed
vdem_v2x_frassoc_thick,0.001107447331513545,failed
wdi_infmort,0.001075345176438726,failed
vdem_v2x_EDcomp_thick,0.001060270712076906,failed
vdem_v2x_delibdem,0.0010098720333926244,failed
vdem_v2x_rule,0.0010043915280619907,failed
wdi_infmort_yearadj,9.87922303385185e-4,failed
vdem_v2x_liberal,8.94881404116124e-4,failed
vdem_v2x_egal,8.855910453753949e-4,failed
vdem_v2x_gender,8.49342111012224e-4,failed
vdem_v2x_diagacc,8.163003046329407e-4,failed
vdem_v2x_veracc,8.150969049006648e-4,failed
vdem_v2x_pubcorr,8.030590191287701e-4,failed
vdem_v2x_execorr,7.857532076926315e-4,failed
vdem_v2x_freexp_altinf,7.464306584575825e-4,failed
vdem_v2x_accountability,7.347292484819995e-4,failed
vdem_v2x_neopat,6.604462494975502e-4,failed
vdem_v2x_clphy,6.479273529009033e-4,failed
vdem_v2x_clpriv,6.417017220793192e-4,failed
vdem_v2x_gencl,6.339731607243442e-4,failed
vdem_v2x_cspart,6.205521976276276e-4,failed
vdem_v2x_corr,5.966951016614582e-4,failed
vdem_v2x_civlib,5.752610811927558e-4,failed
vdem_v2x_clpol,5.201612577503584e-4,failed
vdem_v2x_freexp,5.03324331271351e-4,failed
vdem_v2x_partip,4.289389646767579e-4,failed
vdem_v2x_gencs,3.565691065961919e-4,failed
reign_irregular,3.3778996001401795e-4,failed
vdem_v2x_genpp,3.1593040741912623e-4,failed
vdem_v2x_jucon,2.957197261597007e-4,failed
vdem_v2x_clpol_sd,2.9528421739538575e-4,failed
years_since_last_pt_attempt,2.867527648697805e-4,failed
vdem_v2x_feduni,2.741163918718268e-4,failed
vdem_v2x_accountability_sd,2.716307397830741e-4,failed
pt_attempt_num10yrs,2.2500429180701947e-4,failed
reign_loss,2.2281531388067665e-4,failed
pt_attempt_num5yrs,2.2099706856716135e-4,failed
vdem_v2x_civlib_sd,2.1198535409392566e-4,failed
pt_coup_num10yrs,1.8287450249978614e-4,failed
vdem_v2x_veracc_sd,1.7478915553875628e-4,failed
years_since_last_pt_coup,1.7342588982976906e-4,failed
years_since_last_pt_failed,1.7313772177172316e-4,failed
vdem_v2x_api_sd,1.7008893166902688e-4,failed
pt_coup_total,1.6364197893736527e-4,failed
vdem_v2x_diagacc_sd,1.5635850554770927e-4,failed
vdem_v2x_freexp_altinf_sd,1.3104034450007275e-4,failed
ln_state_age,1.2895887380017296e-4,failed
vdem_v2x_freexp_sd,1.2811736976736903e-4,failed
vdem_v2x_libdem_sd,1.237952065851921e-4,failed
vdem_v2x_mpi_sd,1.2347884814831737e-4,failed
pt_coup_num5yrs,1.2030964392684296e-4,failed
vdem_v2x_frassoc_thick_sd,1.197564339950189e-4,failed
vdem_v2x_ex_military_sd,1.1907106022041353e-4,failed
reign_tenure_months,1.1295981332475493e-4,failed
pt_attempt,1.1231581301032852e-4,failed
vdem_v2x_mpi_d1,1.11799737226824e-4,failed
pt_attempt_num,1.1161007821198524e-4,failed
vdem_v2x_EDcomp_thick_sd,1.0997888278980966e-4,failed
vdem_v2x_gencl_d1,1.0726248910022057e-4,failed
reign_lastelection,9.6270365397149e-5,failed
vdem_v2x_clpriv_sd,9.460245628242277e-5,failed
vdem_v2x_horacc_sd,8.559417771207149e-5,failed
reign_gov_military,8.464019694146978e-5,failed
