variable,value,outcome
vdem_v2x_ex_hereditary,0.020224432305576457,attempt
vdem_v2x_delibdem,0.013739612851715226,attempt
vdem_v2x_veracc,0.011874704524455663,attempt
vdem_v2x_pubcorr,0.011675105099945583,attempt
vdem_v2x_clphy,0.01069024801654082,attempt
vdem_v2x_clpol,0.010375606838697581,attempt
vdem_v2x_civlib,0.010327355029052389,attempt
vdem_v2x_elecoff,0.010229942572460666,attempt
vdem_v2x_egal,0.01009885636779051,attempt
vdem_v2x_gender,0.010036471648901,attempt
vdem_v2x_polyarchy,0.009751122021613238,attempt
vdem_v2x_mpi,0.009663108114198965,attempt
vdem_v2x_EDcomp_thick,0.00945016581178664,attempt
vdem_v2x_partip,0.009330885400158192,attempt
vdem_v2x_neopat,0.009288527311859631,attempt
vdem_v2x_ex_party,0.009247924362852131,attempt
vdem_v2x_freexp_altinf,0.0088275306411046,attempt
vdem_year,0.008695382772024493,attempt
vdem_v2x_liberal,0.008498396602691098,attempt
vdem_v2x_cspart,0.008489631018935755,attempt
vdem_v2x_diagacc,0.008462471104247114,attempt
vdem_v2x_libdem,0.00835697468341869,attempt
vdem_v2x_egaldem,0.008298477525077617,attempt
vdem_v2x_genpp,0.008294810739015172,attempt
vdem_v2x_elecreg,0.008244406122997565,attempt
vdem_v2x_partipdem,0.007034580762344808,attempt
vdem_v2x_clpriv,0.00681904935801417,attempt
vdem_v2x_gencl,0.006747566376120292,attempt
vdem_v2x_accountability,0.006478825519032182,attempt
vdem_v2x_jucon,0.006083959318931718,attempt
vdem_v2x_api,0.006053737998533172,attempt
vdem_v2x_corr,0.005693125583107485,attempt
vdem_v2x_execorr,0.005589970233829482,attempt
vdem_v2x_gencs,0.005588619919093491,attempt
years_since_last_pt_attempt,0.005307502000254757,attempt
years_since_last_pt_coup,0.004249851955679157,attempt
years_since_last_pt_failed,0.003969990615549238,attempt
pt_attempt_num10yrs,0.003829938803929772,attempt
pt_coup_num10yrs,0.0037776858946861926,attempt
reign_irregular,0.0037267861295990634,attempt
vdem_v2x_divparctrl,0.0035030058902221503,attempt
ln_state_age,0.003253817588432422,attempt
reign_tenure_months,0.0031294932083931856,attempt
pt_attempt_num5yrs,0.0030085752411024595,attempt
reign_loss,0.002861827651055704,attempt
pt_coup_num5yrs,0.0019959140382988794,attempt
pt_attempt_total,0.0019538206948588955,attempt
vdem_v2x_horacc,0.0018672606870731767,attempt
epr_elf,0.0017370859622050665,attempt
epr_inpower_groups_pop,0.0015366730140970693,attempt
pt_coup_total,0.0015312830155480924,attempt
vdem_v2x_legabort,0.0014606233354813346,attempt
reign_lastelection,0.0014503994632326029,attempt
reign_age,0.00137622591494069,attempt
reign_gov_parl,0.001367101947579325,attempt
pt_failed_total,0.001355613451918153,attempt
epr_excluded_group_pop,0.0012821450003159785,attempt
vdem_v2x_ex_military,0.0012617956235790085,attempt
pt_failed_num10yrs,0.0011958639467467738,attempt
epr_groups,0.0011443399737309295,attempt
reign_gov_military,0.0010834387170519327,attempt
vdem_v2x_ex_direlect,9.285369125010038e-4,attempt
vdem_v2x_suffr,8.811777096786952e-4,attempt
pt_failed_num5yrs,6.996018163642113e-4,attempt
epr_excluded_groups_count,6.886136799020637e-4,attempt
vdem_v2x_ex_confidence,6.633504568224915e-4,attempt
reign_gov_party,6.445780195200513e-4,attempt
pt_attempt_num,5.68721874477803e-4,attempt
vdem_v2x_frassoc_thick,5.246092770690177e-4,attempt
pt_attempt,4.755095376072737e-4,attempt
reign_gov_personal,4.3875798879284373e-4,attempt
reign_prev_conflict,4.0642790939118275e-4,attempt
epr_inpower_groups_count,4.0034827928891434e-4,attempt
reign_gov_pres,3.7406955420292974e-4,attempt
reign_militarycareer,3.575873303439363e-4,attempt
reign_elected,2.6351820135145045e-4,attempt
reign_male,2.454359815296579e-4,attempt
vdem_v2x_feduni,1.698366662157279e-4,attempt
pt_coup,1.2657975775025733e-4,attempt
vdem_v2x_rule,1.1267678266681304e-4,attempt
vdem_v2x_hosinter,8.690383082507045e-5,attempt
pt_failed,7.345218524357477e-5,attempt
reign_gov_provisional,7.301803139890622e-5,attempt
pt_coup_num,6.174520114561649e-5,attempt
pt_failed_num,4.786162875122054e-5,attempt
reign_leg_ant,4.641478514547055e-5,attempt
reign_defeat_recent,3.6553175759920304e-5,attempt
reign_exec_ant,3.297869208005411e-5,attempt
reign_direct_recent,3.046973698613048e-5,attempt
vdem_v2x_freexp,2.838805119132042e-5,attempt
reign_election_recent,1.7528876645044428e-5,attempt
reign_delayed,1.5960671846265378e-5,attempt
reign_nochange_recent,1.594801632933844e-5,attempt
reign_victory_recent,1.161836697891099e-5,attempt
reign_lead_recent,1.1411157258405474e-5,attempt
reign_change_recent,1.0966437971631489e-5,attempt
reign_leg_recent,7.071082196988505e-6,attempt
reign_anticipation,5.36851122562674e-6,attempt
reign_ref_recent,1.0206628839047548e-6,attempt
epr_regaut_group_pop,0,attempt
epr_regaut_groups_count,0,attempt
reign_irreg_lead_ant,-7.747421508740063e-7,attempt
reign_election_now,-8.757665175177055e-7,attempt
reign_exec_recent,-2.4395722194392434e-6,attempt
vdem_v2x_hosabort,-2.9637608963277403e-6,attempt
reign_indirect_recent,-7.659258448970183e-6,attempt
reign_ref_ant,-1.3397836533086849e-5,attempt
vdem_v2x_veracc,0.007693934503268241,coup
vdem_v2x_polyarchy,0.0074221488033186026,coup
vdem_v2x_egal,0.007421460899104158,coup
vdem_v2x_clphy,0.007330477036604261,coup
vdem_v2x_egaldem,0.006975426672039133,coup
vdem_year,0.0067825348435484765,coup
vdem_v2x_mpi,0.006760249376428355,coup
vdem_v2x_delibdem,0.0066471349219469665,coup
vdem_v2x_EDcomp_thick,0.006254219291429656,coup
vdem_v2x_pubcorr,0.006110529144205489,coup
vdem_v2x_liberal,0.005825068563810924,coup
vdem_v2x_neopat,0.005647205436563392,coup
vdem_v2x_ex_hereditary,0.0055397103963631756,coup
vdem_v2x_freexp_altinf,0.005539278319562817,coup
vdem_v2x_elecoff,0.0055108749449482766,coup
vdem_v2x_partipdem,0.00541617663884093,coup
vdem_v2x_api,0.005159990934391659,coup
vdem_v2x_ex_party,0.005072350919567054,coup
vdem_v2x_libdem,0.0049875261850325986,coup
vdem_v2x_genpp,0.0049231687231045375,coup
vdem_v2x_gender,0.004902269908258728,coup
vdem_v2x_clpol,0.004891946947890235,coup
vdem_v2x_civlib,0.004440088063379262,coup
vdem_v2x_elecreg,0.004418203114109476,coup
vdem_v2x_partip,0.004310685275730906,coup
vdem_v2x_cspart,0.004219746800228762,coup
vdem_v2x_diagacc,0.0038951293462084254,coup
vdem_v2x_accountability,0.003563597341089069,coup
vdem_v2x_jucon,0.0031728299915154278,coup
vdem_v2x_gencl,0.0029978850934219213,coup
vdem_v2x_clpriv,0.0028419100666206166,coup
vdem_v2x_execorr,0.002690951749859266,coup
vdem_v2x_corr,0.002627492146988043,coup
years_since_last_pt_coup,0.0024545504836676417,coup
years_since_last_pt_attempt,0.0023216192095439603,coup
vdem_v2x_gencs,0.0020612631369985894,coup
vdem_v2x_divparctrl,0.0018657758186053437,coup
reign_tenure_months,0.0017883862334317903,coup
reign_irregular,0.0017716932796798418,coup
ln_state_age,0.0015997490469532923,coup
pt_coup_num10yrs,0.00149637297743698,coup
pt_attempt_num10yrs,0.0014502077729152101,coup
reign_loss,0.0013797450666148052,coup
years_since_last_pt_failed,0.0013743668120446031,coup
epr_elf,0.0010643737284605904,coup
vdem_v2x_horacc,0.0010189542466432463,coup
pt_attempt_num5yrs,9.186147690436903e-4,coup
pt_coup_num5yrs,8.762974609178489e-4,coup
reign_gov_personal,8.321164763825524e-4,coup
pt_coup_total,7.576686598476588e-4,coup
epr_inpower_groups_pop,7.478627768243853e-4,coup
reign_lastelection,7.10480604216111e-4,coup
pt_attempt_total,7.022017794760797e-4,coup
reign_gov_parl,6.280449890685325e-4,coup
epr_excluded_group_pop,6.036563177225261e-4,coup
reign_age,5.934957242596884e-4,coup
vdem_v2x_legabort,5.748404428388803e-4,coup
vdem_v2x_ex_military,5.436595980026248e-4,coup
reign_gov_military,5.245695481936606e-4,coup
epr_groups,5.060419079531929e-4,coup
vdem_v2x_suffr,4.7723015781046786e-4,coup
vdem_v2x_frassoc_thick,4.31378138744873e-4,coup
pt_failed_total,3.9332994433030605e-4,coup
