variable,value,outcome
vdem_v2x_ex_military,1,attempt
vdem_v2x_ex_military,1,coup
vdem_v2x_ex_military,1,failed
wdi_infmort,0.6797318310368183,coup
wdi_infmort_yearadj,0.6092644097337737,coup
vdem_v2x_gencl,0.49502677833619446,coup
wdi_infmort,0.47020680914241003,attempt
vdem_v2x_diagacc,0.4576251407250905,coup
wdi_infmort_yearadj,0.3745662920421919,attempt
vdem_v2x_gender,0.3688552442839055,coup
vdem_v2x_egaldem,0.36303347692410753,failed
vdem_v2x_freexp_altinf,0.3597501655977262,coup
vdem_v2x_jucon,0.3493123552603473,coup
vdem_v2x_clpol,0.33483424784789045,coup
vdem_v2x_freexp,0.32058616443574145,coup
vdem_v2x_gencl,0.29515742075420165,attempt
vdem_v2x_gender,0.2711877881066372,attempt
vdem_v2x_egal,0.26954842467266527,failed
vdem_v2x_execorr,0.2684511302113355,failed
vdem_v2x_diagacc,0.2587272173546118,attempt
vdem_v2x_clphy,0.2558067364356446,failed
vdem_v2x_clpriv,0.25453020043785474,failed
vdem_v2x_rule,0.25138611262606214,failed
vdem_v2x_egal,0.24285078124339723,attempt
wdi_infmort,0.23280481045810322,failed
vdem_v2x_clphy,0.23183656974044287,attempt
vdem_v2x_freexp,0.22540478043732162,attempt
vdem_v2x_clpriv,0.21824630854859153,attempt
vdem_v2x_corr,0.21244548749389122,failed
vdem_v2x_pubcorr,0.2079084566771084,failed
